measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2004-08-01,85.659,2010.0,2010.0,2944.88535,69081.1,69081.1,2409.45165,56520.9,56520.9,127.33300000000001,2988.0,2988.0
2004-09-01,92.473,2169.0,2169.0,2932.02635,68779.7,68779.7,2398.93065,56274.3,56274.3,127.33300000000001,2988.0,2988.0
2004-10-01,53.839000000000006,1263.0,1263.0,3085.94495,72390.45,72390.45,2524.86405,59228.55,59228.55,127.33300000000001,2988.0,2988.0
2004-11-01,46.014,1079.0,1079.0,2879.6878,67551.55,67551.55,2356.1082,55269.45,55269.45,127.33300000000001,2988.0,2988.0
2004-12-01,199.053,4670.0,4670.0,2783.51755,65296.0,65296.0,2277.4234500000002,53424.0,53424.0,127.33300000000001,2988.0,2988.0
2005-01-01,346.113,8385.51,8385.51,2639.81312,63940.43,63940.43,2074.13888,50238.91,50238.91,144.526,3500.38,3500.38
2005-02-01,79.668,1930.18,1930.18,2354.92096,57039.89,57039.89,1850.29504,44817.06,44817.06,134.12900000000002,3248.56,3248.56
2005-03-01,68.365,1656.33,1656.33,2689.64528,65147.44,65147.44,2113.29272,51187.28,51187.28,145.015,3512.21,3512.21
2005-04-01,68.404,1657.27,1657.27,2684.08504,65012.77,65012.77,2108.92396,51081.46,51081.46,124.68,3019.72,3019.72
2005-05-01,68.968,1670.93,1670.93,2950.76152,71472.09,71472.09,2318.45548,56156.65,56156.65,138.366,3351.2,3351.2
2005-06-01,83.545,2024.1,2024.1,2923.35176,70808.19,70808.19,2296.91924,55635.0,55635.0,133.958,3244.43,3244.43
2005-07-01,158.225,3833.42,3833.42,3026.97472,73318.09,73318.09,2378.33728,57607.07,57607.07,148.359,3593.22,3593.22
2005-08-01,140.14100000000002,3395.29,3395.29,3013.29392,72986.72,72986.72,2367.58808,57346.71,57346.71,152.747,3699.5,3699.5
2005-09-01,77.97800000000001,1889.22,1889.22,2838.50224,68753.0,68753.0,2230.25176,54020.22,54020.22,143.78900000000002,3482.53,3482.53
2005-10-01,109.32600000000001,2648.71,2648.71,2865.25792,69401.05,69401.05,2251.27408,54529.4,54529.4,137.056,3319.45,3319.45
2005-11-01,73.616,1783.54,1783.54,2885.79872,69898.59,69898.59,2267.41328,54920.32,54920.32,139.583,3380.66,3380.66
2005-12-01,201.65,4885.51,4885.51,2892.2342399999998,70054.47,70054.47,2272.46976,55042.8,55042.8,150.792,3652.15,3652.15
2006-01-01,165.239,3952.0,3952.0,,,,,,,198.453,4744.0,4744.0
2006-02-01,86.464,2068.0,2068.0,,,,,,,181.526,4340.0,4340.0
2006-03-01,72.631,1737.0,1737.0,,,,,,,182.55200000000002,4364.0,4364.0
2006-04-01,139.12800000000001,3327.0,3327.0,,,,,,,120.343,2877.0,2877.0
2006-05-01,130.049,3110.0,3110.0,,,,,,,159.435,3812.0,3812.0
2006-06-01,118.206,2827.0,2827.0,,,,,,,160.119,3828.0,3828.0
2006-07-01,171.22400000000002,4095.0,4095.0,,,,,,,183.148,4378.0,4378.0
2006-08-01,166.086,3972.0,3972.0,,,,,,,203.756,4871.0,4871.0
2006-09-01,76.303,1825.0,1825.0,,,,,,,173.875,4157.0,4157.0
2006-10-01,80.6,1928.0,1928.0,,,,,,,187.135,4474.0,4474.0
2006-11-01,94.909,2270.0,2270.0,,,,,,,176.013,4208.0,4208.0
2006-12-01,105.161,2515.0,2515.0,,,,,,,191.645,4582.0,4582.0
2007-01-01,77.592,1945.0,1945.0,,,,,,,157.312,3942.0,3942.0
2007-02-01,63.168000000000006,1524.0,1524.0,,,,,,,137.191,3309.0,3309.0
2007-03-01,120.908,3219.0,3219.0,,,,,,,104.45700000000001,2781.0,2781.0
2007-04-01,89.52600000000001,2255.0,2255.0,,,,,,,131.376,3309.0,3309.0
2007-05-01,115.27600000000001,2255.0,2255.0,,,,,,,169.16400000000002,3309.0,3309.0
2007-06-01,73.066,1795.0,1795.0,,,,,,,110.33,2710.0,2710.0
2007-07-01,67.983,1684.0,1684.0,,,,,,,138.537,3432.0,3432.0
2007-08-01,74.691,1939.0,1939.0,,,,,,,166.1,4312.0,4312.0
2007-09-01,93.525,2327.0,2327.0,,,,,,,123.8,3080.0,3080.0
2007-10-01,41.632000000000005,1036.0,1036.0,,,,,,,159.846,3978.0,3978.0
2007-11-01,82.58,2183.0,2183.0,,,,,,,150.483,3978.0,3978.0
2007-12-01,63.615,1640.0,1640.0,,,,,,,126.994,3274.0,3274.0
2008-01-01,77.751,1972.0,1972.0,,,,,,,176.93,4488.0,4488.0
2008-02-01,148.45000000000002,3601.0,3601.0,,,,,,,176.309,4277.0,4277.0
2008-03-01,58.870000000000005,1568.0,1568.0,,,,,,,155.964,4154.0,4154.0
2008-04-01,41.267,1086.0,1086.0,,,,,,,147.155,3872.0,3872.0
2008-05-01,61.42,1529.0,1529.0,,,,,,,135.739,3379.0,3379.0
2008-06-01,37.435,947.0,947.0,,,,,,,118.23100000000001,2992.0,2992.0
2008-07-01,36.727000000000004,942.0,942.0,,,,,,,130.404,3344.0,3344.0
2008-08-01,63.341,1607.0,1607.0,,,,,,,97.14500000000001,2464.0,2464.0
2008-09-01,122.712,3296.0,3296.0,,,,,,,133.006,3573.0,3573.0
2008-10-01,74.217,1911.0,1911.0,,,,,,,171.53900000000002,4418.0,4418.0
2008-11-01,152.332,4022.0,4022.0,,,,,,,119.32000000000001,3150.0,3150.0
2008-12-01,212.404,5623.0,5623.0,,,,,,,71.135,1883.0,1883.0
2009-01-01,138.787,3911.0,3911.0,,,,,,,91.804,2587.0,2587.0
2009-02-01,40.084,1108.0,1108.0,,,,,,,70.039,1936.0,1936.0
2009-03-01,86.518,2355.0,2355.0,,,,,,,50.445,1373.0,1373.0
2009-04-01,102.25,2776.0,2776.0,,,,,,,95.96,2605.0,2605.0
2009-05-01,81.534,1823.0,1823.0,,,,,,,57.473000000000006,1285.0,1285.0
2009-06-01,111.845,2914.0,2914.0,,,,,,,56.068000000000005,1461.0,1461.0
2009-07-01,151.076,4039.0,4039.0,,,,,,,41.477000000000004,1109.0,1109.0
2009-08-01,117.753,3186.0,3186.0,,,,,,,43.589,1179.0,1179.0
2009-09-01,104.061,2986.0,2986.0,,,,,,,36.801,1056.0,1056.0
2009-10-01,82.41300000000001,2188.0,2188.0,,,,,,,27.839000000000002,739.0,739.0
2009-11-01,97.266,2659.0,2659.0,,,,,,,29.613000000000003,810.0,810.0
2009-12-01,58.535,2681.0,2681.0,,,,,,,20.747,950.0,950.0
2010-01-01,84.37400000000001,2430.0,2430.0,,,,,,,33.543,966.0,966.0
2010-02-01,105.52,3207.0,3207.0,,,,,,,31.784000000000002,966.0,966.0
2010-03-01,80.876,2622.0,2622.0,,,,,,,27.039,876.0,876.0
2010-04-01,49.665,1421.0,1421.0,,,,,,,37.944,1086.0,1086.0
2010-05-01,116.94300000000001,3318.0,3318.0,,,,,,,20.012,568.0,568.0
2010-06-01,29.703000000000003,818.0,818.0,,,,,,,9.767000000000001,269.0,269.0
2010-07-01,29.442,911.0,911.0,,,,,,,39.287,1215.0,1215.0
2010-08-01,50.016000000000005,1792.0,1792.0,,,,,,,12.786000000000001,458.0,458.0
2010-09-01,82.393,2975.0,2975.0,,,,,,,14.066,508.0,508.0
2010-10-01,78.37700000000001,2303.0,2303.0,,,,,,,57.973000000000006,1703.0,1703.0
2010-11-01,29.107000000000003,853.0,853.0,,,,,,,81.94500000000001,2400.0,2400.0
2010-12-01,36.623000000000005,1212.0,1212.0,,,,,,,48.146,1594.0,1594.0
2011-01-01,39.719,1218.0,1218.0,,,,,,,74.703,2291.0,2291.0
2011-02-01,52.206,2047.0,2047.0,,,,,,,51.048,2002.0,2002.0
2011-03-01,53.39,2047.0,2047.0,,,,,,,70.386,2699.0,2699.0
2011-04-01,30.087,1073.0,1073.0,,,,,,,35.748,1275.0,1275.0
2011-05-01,44.582,1351.0,1351.0,,,,,,,63.086,1912.0,1912.0
2011-06-01,62.972,2047.0,2047.0,,,,,,,42.275,1374.0,1374.0
2011-07-01,95.611,2830.0,2830.0,,,,,,,73.683,2181.0,2181.0
2011-08-01,185.416,5562.0,5562.0,,,,,,,89.645,2689.0,2689.0
2011-09-01,96.481,2964.0,2964.0,,,,,,,131.313,4034.0,4034.0
2011-10-01,83.683,2320.0,2320.0,,,,,,,51.374,1424.0,1424.0
2011-11-01,83.161,2465.0,2465.0,,,,,,,74.26,2201.0,2201.0
2011-12-01,125.984,3805.0,3805.0,,,,,,,78.161,2361.0,2361.0
2012-01-01,159.133,4733.0,4733.0,,,,,,,15.07,448.0,448.0
2012-02-01,56.798,1647.0,1647.0,,,,,,,46.02,1335.0,1335.0
2012-03-01,75.774,2337.0,2337.0,,,,,,,71.034,2191.0,2191.0
2012-04-01,58.288,1734.0,1734.0,,,,,,,52.223,1554.0,1554.0
2012-05-01,53.241,1537.0,1537.0,,,,,,,46.921,1355.0,1355.0
2012-06-01,36.006,1090.0,1090.0,,,,,,,54.925,1663.0,1663.0
2012-07-01,73.025,2169.0,2169.0,,,,,,,84.495,2510.0,2510.0
2012-08-01,71.962,2297.0,2297.0,,,,,,,67.717,2161.0,2161.0
2012-09-01,40.229,1247.0,1247.0,,,,,,,63.942,1982.0,1982.0
2012-10-01,38.938,1270.0,1270.0,,,,,,,79.383,2590.0,2590.0
2012-11-01,75.944,2546.0,2546.0,,,,,,,63.276,2121.0,2121.0
2012-12-01,16.094,510.0,510.0,,,,,,,91.392,2898.0,2898.0
2013-01-01,52.8,1376.0,1376.0,,,,,,,178.15,4644.0,4644.0
2013-02-01,171.124,5016.0,5016.0,,,,,,,184.232,5400.0,5400.0
2013-03-01,126.583,3695.0,3695.0,,,,,,,170.185,4968.0,4968.0
2013-04-01,55.211,1538.0,1538.0,,,,,,,149.303,4158.0,4158.0
2013-05-01,111.024,3286.0,3286.0,,,,,,,116.767,3456.0,3456.0
2013-06-01,69.548,1841.0,1841.0,,,,,,,228.429,6048.0,6048.0
2013-07-01,29.465,775.0,775.0,,,,,,,156.032,4104.0,4104.0
2013-08-01,52.07,1438.0,1438.0,,,,,,,164.202,4536.0,4536.0
2013-09-01,53.868,1482.0,1482.0,,,,,,,164.896,4536.0,4536.0
2013-10-01,42.59,1197.0,1197.0,,,,,,,111.475,3132.0,3132.0
2013-11-01,63.663,1829.0,1829.0,,,,,,,114.657,3294.0,3294.0
2013-12-01,38.384,1178.0,1178.0,,,,,,,130.207,3996.0,3996.0
2014-01-01,47.254,1984.0,1984.0,,,,,,,162.086,6804.0,6804.0
2014-02-01,84.282,2906.0,2906.0,,,,,,,145.663,5022.0,5022.0
2014-03-01,29.152,905.0,905.0,,,,,,,161.804,5022.0,5022.0
2014-04-01,41.277,1305.0,1305.0,,,,,,,182.759,5778.0,5778.0
2014-05-01,34.358,992.0,992.0,,,,,,,196.421,5670.0,5670.0
2014-06-01,45.545,1398.0,1398.0,,,,,,,154.836,4752.0,4752.0
2014-07-01,12.321,377.0,377.0,,,,,,,180.008,5508.0,5508.0
2014-08-01,30.123,951.0,951.0,,,,,,,92.344,2916.0,2916.0
2014-09-01,35.522,1108.0,1108.0,,,,,,,145.449,4536.0,4536.0
2014-10-01,15.72,499.0,499.0,,,,,,,188.905,5994.0,5994.0
2014-11-01,6.261,203.0,203.0,,,,,,,169.889,5508.0,5508.0
2014-12-01,13.181,435.0,435.0,,,,,,,170.168,5616.0,5616.0
2015-01-01,41.144,1496.0,1496.0,,,,,,,13.363,486.0,486.0
2015-02-01,36.186,1496.0,1496.0,,,,,,,13.058,540.0,540.0
2015-03-01,36.146,1496.0,1496.0,,,,,,,13.044,540.0,540.0
2015-04-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2015-05-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2015-06-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2015-07-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2015-08-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2015-09-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2015-10-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2015-11-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2015-12-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
