measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed
2013-12-01,-44.0,56.0,56.0
2014-01-01,0.0,0.0,0.0
2014-02-01,0.0,0.0,0.0
2014-03-01,0.0,0.0,0.0
2014-04-01,0.0,0.0,0.0
2014-05-01,0.0,0.0,0.0
2014-06-01,0.0,0.0,0.0
2014-07-01,0.0,0.0,0.0
2014-08-01,0.0,0.0,0.0
2014-09-01,0.0,0.0,0.0
2014-10-01,0.0,0.0,0.0
2014-11-01,0.0,0.0,0.0
2014-12-01,-48.0,25.0,25.0
2015-01-01,-8.736,6.0,6.0
2015-02-01,-20.112,31.0,31.0
2015-03-01,-2.116,0.0,0.0
2015-04-01,-0.842,0.0,0.0
2015-05-01,-2.819,0.0,0.0
2015-06-01,-2.169,0.0,0.0
2015-07-01,-1.533,0.0,0.0
2015-08-01,-1.408,0.0,0.0
2015-09-01,-1.37,0.0,0.0
2015-10-01,-1.074,0.0,0.0
2015-11-01,-2.974,0.0,0.0
2015-12-01,-1.847,0.0,0.0
2016-01-01,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0
2016-03-01,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0
2016-05-01,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0
2016-08-01,0.0,0.0,0.0
2016-09-01,0.0,0.0,0.0
2016-10-01,0.0,0.0,0.0
2016-11-01,0.0,0.0,0.0
2016-12-01,-46.0,68.0,68.0
2017-01-01,0.0,0.0,0.0
2017-02-01,0.0,0.0,0.0
2017-03-01,0.0,0.0,0.0
2017-04-01,0.0,0.0,0.0
2017-05-01,0.0,0.0,0.0
2017-06-01,0.0,0.0,0.0
2017-07-01,0.0,0.0,0.0
2017-08-01,0.0,0.0,0.0
2017-09-01,0.0,0.0,0.0
2017-10-01,0.0,0.0,0.0
2017-11-01,0.0,0.0,0.0
2017-12-01,-45.0,56.0,56.0
2018-01-01,-25.259,50.0,50.0
2018-02-01,-0.962,0.0,0.0
2018-03-01,-2.099,0.0,0.0
2018-04-01,-1.387,0.0,0.0
2018-05-01,-1.964,0.0,0.0
2018-06-01,-1.812,0.0,0.0
2018-07-01,-1.315,0.0,0.0
2018-08-01,-1.745,0.0,0.0
2018-09-01,-1.025,0.0,0.0
2018-10-01,-0.897,0.0,0.0
2018-11-01,-1.892,0.0,0.0
2018-12-01,-2.643,6.0,6.0
2019-01-01,0.0,0.0,0.0
2019-02-01,0.0,0.0,0.0
2019-03-01,0.0,0.0,0.0
2019-04-01,0.0,0.0,0.0
2019-05-01,0.0,0.0,0.0
2019-06-01,0.0,0.0,0.0
2019-07-01,0.0,0.0,0.0
2019-08-01,0.0,0.0,0.0
2019-09-01,0.0,0.0,0.0
2019-10-01,0.0,0.0,0.0
2019-11-01,0.0,0.0,0.0
2019-12-01,-39.0,56.0,56.0
2020-01-01,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0
2020-04-01,0.0,0.0,0.0
2020-05-01,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0
2020-07-01,0.0,0.0,0.0
2020-08-01,0.0,0.0,0.0
2020-09-01,0.0,0.0,0.0
2020-10-01,0.0,0.0,0.0
2020-11-01,0.0,0.0,0.0
2020-12-01,-54.0,37.0,37.0
2021-01-01,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0
2021-04-01,0.0,0.0,0.0
2021-05-01,0.0,0.0,0.0
2021-06-01,0.0,0.0,0.0
2021-07-01,0.0,0.0,0.0
2021-08-01,0.0,0.0,0.0
2021-09-01,0.0,0.0,0.0
2021-10-01,0.0,0.0,0.0
2021-11-01,0.0,0.0,0.0
2021-12-01,-54.0,43.0,43.0
2022-01-01,0.0,0.0,0.0
2022-02-01,0.0,0.0,0.0
2022-03-01,0.0,0.0,0.0
2022-04-01,0.0,0.0,0.0
2022-05-01,0.0,0.0,0.0
2022-06-01,0.0,0.0,0.0
2022-07-01,0.0,0.0,0.0
2022-08-01,0.0,0.0,0.0
2022-09-01,0.0,0.0,0.0
2022-10-01,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0
2022-12-01,-48.0,6.0,6.0
2023-01-01,0.0,0.0,0.0
2023-02-01,0.0,0.0,0.0
2023-03-01,0.0,0.0,0.0
2023-04-01,0.0,0.0,0.0
2023-05-01,0.0,0.0,0.0
2023-06-01,0.0,0.0,0.0
2023-07-01,0.0,0.0,0.0
2023-08-01,0.0,0.0,0.0
2023-09-01,0.0,0.0,0.0
2023-10-01,0.0,0.0,0.0
2023-11-01,0.0,0.0,0.0
2023-12-01,-47.0,6.0,6.0
2024-01-01,-12.506,50.0,50.0
2024-02-01,-1.57,6.0,6.0
2024-03-01,-1.581,6.0,6.0
2024-04-01,-2.199,6.0,6.0
2024-05-01,-1.806,6.0,6.0
2024-06-01,-1.131,6.0,6.0
2024-07-01,-1.124,6.0,6.0
2024-08-01,-1.259,6.0,6.0
2024-09-01,-1.062,6.0,6.0
2024-10-01,-1.284,6.0,6.0
2024-11-01,-2.175,6.0,6.0
2024-12-01,-1.303,6.0,6.0
