measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2005-05-01,0.0,0.0,0.0,36.705,430.37,13741.84
2005-06-01,0.0,0.0,0.0,35.536,416.66,13304.06
2005-07-01,0.0,0.0,0.0,39.356,461.45,14734.3
2005-08-01,0.0,0.0,0.0,40.52,475.1,15170.05
2005-09-01,0.0,0.0,0.0,38.144,447.23,14280.42
2005-10-01,0.0,0.0,0.0,36.357,426.3,13611.64
2005-11-01,0.0,0.0,0.0,37.028,434.15,13862.66
2005-12-01,0.0,0.0,0.0,40.001000000000005,469.02,14975.94
2006-01-01,0.0,0.0,0.0,0.0,420.0,420.0
2006-02-01,0.0,0.0,0.0,0.0,381.0,381.0
2006-03-01,0.0,0.0,0.0,0.0,413.0,413.0
2006-04-01,0.0,0.0,0.0,0.0,382.0,382.0
2006-05-01,0.0,0.0,0.0,0.0,381.0,381.0
2006-06-01,0.0,0.0,0.0,0.0,380.0,380.0
2006-07-01,0.0,0.0,0.0,0.0,408.0,408.0
2006-08-01,0.0,0.0,0.0,0.0,433.0,433.0
2006-09-01,0.0,0.0,0.0,0.0,405.0,405.0
2006-10-01,0.0,0.0,0.0,0.0,420.0,420.0
2006-11-01,0.0,0.0,0.0,0.0,411.0,411.0
2006-12-01,0.0,0.0,0.0,0.0,426.0,426.0
2007-01-01,0.0,23.0,23.0,32.885,15939.0,15939.0
2007-02-01,0.0,35.0,35.0,31.216,15129.0,15129.0
2007-03-01,0.0,17.0,17.0,32.575,15795.0,15795.0
2007-04-01,0.0,6.0,6.0,25.643,12429.0,12429.0
2007-05-01,0.0,12.0,12.0,31.423000000000002,15237.0,15237.0
2007-06-01,0.0,6.0,6.0,34.47,16713.0,16713.0
2007-07-01,0.0,6.0,6.0,34.419000000000004,16686.0,16686.0
2007-08-01,0.0,6.0,6.0,35.581,17253.0,17253.0
2007-09-01,0.0,6.0,6.0,33.819,16398.0,16398.0
2007-10-01,0.0,6.0,6.0,28.98,14049.0,14049.0
2007-11-01,0.0,6.0,6.0,32.374,15696.0,15696.0
2007-12-01,0.0,23.0,23.0,34.615,16785.0,16785.0
2008-01-01,1.472,23.0,23.0,4.156000000000001,441.0,441.0
2008-02-01,0.8570000000000001,17.0,17.0,3.59,378.0,378.0
2008-03-01,0.733,12.0,12.0,3.738,387.0,387.0
2008-04-01,0.613,12.0,12.0,3.439,360.0,360.0
2008-05-01,0.505,12.0,12.0,3.3640000000000003,351.0,351.0
2008-06-01,0.728,12.0,12.0,3.2190000000000003,333.0,333.0
2008-07-01,0.47900000000000004,6.0,6.0,3.8160000000000003,396.0,396.0
2008-08-01,0.258,6.0,6.0,4.005,423.0,423.0
2008-09-01,0.331,6.0,6.0,3.4040000000000004,360.0,360.0
2008-10-01,0.398,6.0,6.0,2.99,315.0,315.0
2008-11-01,0.509,12.0,12.0,3.65,378.0,378.0
2008-12-01,1.117,17.0,17.0,3.629,378.0,378.0
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-01,0.0,0.0,6.0,0.0,0.0,0.0
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-01,0.0,0.0,6.0,0.0,0.0,0.0
2010-07-01,0.0,0.0,12.0,0.0,0.0,0.0
2010-08-01,0.0,0.0,6.0,0.0,0.0,0.0
2010-09-01,0.0,0.0,6.0,0.0,0.0,0.0
2010-10-01,0.0,0.0,6.0,0.0,0.0,0.0
2010-11-01,0.0,0.0,12.0,0.0,0.0,0.0
2010-12-01,0.0,0.0,6.0,0.0,0.0,0.0
