measured_on,Black Liquor Generation,Black Liquor Quantity Consumed For Electricity,Black Liquor Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Tire-Derived Fuels Generation,Tire-Derived Fuels Quantity Consumed For Electricity,Tire-Derived Fuels Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2020-10-01,15067.092,90191.0,706970.0,6682.933,40004.0,313573.0,175.954,1053.0,8256.0,1859.021,11128.0,87228.0
2020-11-01,15440.79,92428.0,620070.0,7055.52,42234.0,283335.0,203.995,1221.0,8192.0,1476.695,8839.0,59301.0
2020-12-01,16211.951,97044.0,680757.0,8292.909,49641.0,348228.0,212.617,1273.0,8928.0,441.523,2643.0,18540.0
2021-01-01,10739.442,64286.0,513986.0,6599.003,39501.0,315826.0,168.493,1009.0,8064.0,2693.062,16121.0,128889.0
2021-02-01,2764.993,16551.0,224532.0,3053.127,18276.0,247930.0,23.25,139.0,1888.0,1154.63,6912.0,93762.0
2021-03-01,11029.896,66025.0,683353.0,4858.783,29085.0,301024.0,157.018,940.0,9728.0,3608.303,21599.0,223551.0
2021-04-01,6584.068,39412.0,685531.0,15229.38,91163.0,1585678.0,85.44,511.0,8896.0,2334.112,13972.0,243027.0
2021-05-01,14987.558,89715.0,743754.0,6275.536,37565.0,311422.0,165.724,992.0,8224.0,3715.182,22239.0,184365.0
2021-06-01,12904.174,77244.0,734503.0,5094.66,30496.0,289987.0,160.788,962.0,9152.0,4607.378,27580.0,262251.0
2021-07-01,13698.793,82000.0,743666.0,5242.473,31381.0,284598.0,167.407,1002.0,9088.0,4266.327,25538.0,231606.0
2021-08-01,15294.474,91552.0,741070.0,5155.774,30862.0,249815.0,223.225,1336.0,10816.0,4522.527,27072.0,219132.0
2021-09-01,12645.413,75695.0,705716.0,6253.326,37432.0,348986.0,123.28,738.0,6880.0,4146.981,24824.0,231435.0
2021-10-01,13993.375,83764.0,727474.0,5786.694,34639.0,300833.0,182.815,1094.0,9504.0,4398.116,26327.0,228645.0
2021-11-01,13816.224,82703.0,699787.0,5903.16,35336.0,298993.0,221.759,1327.0,11232.0,5039.857,30168.0,255267.0
2021-12-01,14260.775,85364.0,702713.0,5911.303,35385.0,291285.0,217.55,1302.0,10720.0,5424.372,32470.0,267291.0
2022-01-01,7226.074,43255.0,540573.0,3103.691,18579.0,232183.0,108.651,650.0,8128.0,2596.584,15543.0,194247.0
2022-02-01,8719.836,52197.0,529837.0,5292.249,31679.0,321569.0,126.921,760.0,7712.0,4065.994,24339.0,247059.0
2022-03-01,12688.974,75956.0,679514.0,6378.884,38184.0,341599.0,162.535,973.0,8704.0,4648.607,27826.0,248940.0
2022-04-01,12751.719,76331.0,668547.0,5959.127,35671.0,312425.0,203.861,1220.0,10688.0,5941.293,35564.0,311490.0
2022-05-01,14651.864,87706.0,728365.0,5184.985,31037.0,257753.0,231.737,1387.0,11520.0,4798.414,28723.0,238536.0
2022-06-01,13153.938,78739.0,692538.0,4343.923,26003.0,228702.0,185.987,1113.0,9792.0,5887.152,35240.0,309951.0
2022-07-01,15199.597,90984.0,749485.0,4235.408,25353.0,208846.0,146.665,878.0,7232.0,5165.33,30919.0,254700.0
2022-08-01,14463.59,86579.0,689876.0,4884.918,29241.0,232998.0,215.358,1289.0,10272.0,5286.134,31643.0,252135.0
2022-09-01,11345.523,67914.0,562991.0,6295.899,37687.0,312417.0,135.423,811.0,6720.0,4095.155,24513.0,203211.0
2022-10-01,13408.705,80264.0,667106.0,5598.562,33513.0,278538.0,199.39,1194.0,9920.0,4366.343,26137.0,217233.0
2022-11-01,14535.131,87007.0,686059.0,5135.015,30738.0,242373.0,211.525,1266.0,9984.0,4726.329,28292.0,223083.0
2022-12-01,13082.994,78314.0,604175.0,5935.555,35530.0,274105.0,243.914,1460.0,11264.0,4974.537,29777.0,229725.0
2023-01-01,6594.429,39474.0,413790.0,2.996,18.0,188.0,124.433,745.0,7808.0,5835.142,34929.0,366146.0
2023-02-01,5311.096,31792.0,247478.0,4.056,24.0,189.0,94.085,563.0,4384.0,4880.763,29216.0,227426.0
2023-03-01,15347.735,91871.0,722546.0,5.395,32.0,254.0,238.581,1428.0,11232.0,9731.289,58251.0,458133.0
2023-04-01,13891.475,83154.0,618739.0,5.658,34.0,252.0,205.474,1230.0,9152.0,9154.393,54798.0,407745.0
2023-05-01,14729.368,88169.0,708521.0,4.594,27.0,221.0,202.9,1215.0,9760.0,9525.138,57017.0,458184.0
2023-06-01,13364.444,79999.0,574035.0,6.402,38.0,275.0,159.432,954.0,6848.0,7522.722,45031.0,323119.0
2023-07-01,13950.219,83506.0,696091.0,3.968,24.0,198.0,195.598,1171.0,9760.0,9036.215,54090.0,450891.0
2023-08-01,14350.945,85904.0,658119.0,5.342,32.0,245.0,198.871,1190.0,9120.0,9220.842,55196.0,422858.0
2023-09-01,14000.433,83806.0,627627.0,5.711,34.0,256.0,176.314,1055.0,7904.0,8522.542,51016.0,382058.0
2023-10-01,14105.782,84437.0,631510.0,5.718,34.0,256.0,218.72,1309.0,9792.0,9973.78,59703.0,446522.0
2023-11-01,13898.611,83197.0,691141.0,4.625,28.0,230.0,193.053,1156.0,9600.0,10487.711,62779.0,521526.0
2023-12-01,2035.732,12186.0,111584.0,1.277,8.0,70.0,21.601,129.0,1184.0,1011.39,6054.0,55437.0
