measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2002-08-01,41264.0,577142.0,577142.0,0.0,0.0,0.0,473.0,6754.0,6754.0
2002-09-01,40543.0,571054.0,571054.0,0.0,0.0,0.0,619.0,8845.0,8845.0
2002-10-01,41541.0,610397.0,610397.0,0.0,0.0,0.0,690.0,9779.0,9779.0
2002-11-01,33679.0,498476.0,498476.0,0.0,0.0,0.0,1265.0,19611.0,19611.0
2002-12-01,43563.0,610082.0,610082.0,0.0,0.0,0.0,775.0,10723.0,10723.0
2003-01-01,39908.0,572570.0,572570.0,0.0,0.0,0.0,2658.0,39150.0,39150.0
2003-02-01,36771.0,529956.0,529956.0,0.0,0.0,0.0,428.0,6077.0,6077.0
2003-03-01,19368.0,283094.0,283094.0,0.0,0.0,0.0,181.0,2632.0,2632.0
2003-04-01,48214.0,657399.0,657399.0,0.0,0.0,0.0,524.0,7562.0,7562.0
2003-05-01,51090.0,672733.0,672733.0,0.0,0.0,0.0,67.0,913.0,913.0
2003-06-01,47385.0,629898.0,629898.0,0.0,0.0,0.0,131.0,1817.0,1817.0
2003-07-01,51400.0,699037.0,699037.0,0.0,0.0,0.0,58.0,770.0,770.0
2003-08-01,49436.0,680489.0,680489.0,0.0,0.0,0.0,187.0,2616.0,2616.0
2003-09-01,48737.0,669830.0,669830.0,0.0,0.0,0.0,176.0,2434.0,2434.0
2003-10-01,49088.0,682351.0,682351.0,0.0,0.0,0.0,108.0,1505.0,1505.0
2003-11-01,30449.0,423566.0,423566.0,0.0,0.0,0.0,483.0,6932.0,6932.0
2003-12-01,34385.0,496140.0,496140.0,0.0,0.0,0.0,167.0,2509.0,2509.0
2004-01-01,45095.717000000004,638944.0,638944.0,0.0,0.0,0.0,231.172,2921.0,2921.0
2004-02-01,38158.6,540654.0,540654.0,0.0,0.0,0.0,237.72400000000002,3004.0,3004.0
2004-03-01,42161.269,597367.0,597367.0,0.0,0.0,0.0,125.379,1584.0,1584.0
2004-04-01,33618.098,476322.0,476322.0,0.0,0.0,0.0,294.503,3721.0,3721.0
2004-05-01,32210.412,456377.0,456377.0,0.0,0.0,0.0,196.073,2477.0,2477.0
2004-06-01,37580.953,532470.0,532470.0,0.0,0.0,0.0,93.095,1176.0,1176.0
2004-07-01,40071.567,567758.0,567758.0,0.0,0.0,0.0,351.767,4445.0,4445.0
2004-08-01,41718.026,591086.0,591086.0,0.0,0.0,0.0,231.513,2925.0,2925.0
2004-09-01,38849.435,550443.0,550443.0,0.0,0.0,0.0,140.50900000000001,1775.0,1775.0
2004-10-01,39441.074,558825.0,558825.0,0.0,0.0,0.0,120.989,1529.0,1529.0
2004-11-01,37115.201,525871.0,525871.0,0.0,0.0,0.0,268.955,3398.0,3398.0
2004-12-01,42564.648,603082.0,603082.0,0.0,0.0,0.0,233.32,2948.0,2948.0
2005-01-01,43160.285,585156.26,585156.26,,,,160.258,2293.83,2293.83
2005-02-01,37578.195,509475.71,509475.71,,,,133.037,1904.21,1904.21
2005-03-01,38987.274000000005,528579.63,528579.63,,,,164.755,2358.21,2358.21
2005-04-01,34745.331,471068.44,471068.44,,,,162.335,2323.56,2323.56
2005-05-01,38143.387,517138.42,517138.42,,,,191.366,2739.11,2739.11
2005-06-01,42483.823000000004,575984.97,575984.97,,,,241.51,3456.83,3456.83
2005-07-01,44909.897,608877.06,608877.06,,,,302.684,4332.44,4332.44
2005-08-01,45409.562,615651.41,615651.41,,,,313.548,4487.94,4487.94
2005-09-01,41614.078,564193.19,564193.19,,,,238.59,3415.04,3415.04
2005-10-01,39296.703,532774.79,532774.79,,,,190.604,2728.2,2728.2
2005-11-01,38312.464,519430.74,519430.74,,,,162.61700000000002,2327.61,2327.61
2005-12-01,42786.999,580095.36,580095.36,,,,158.698,2271.5,2271.5
2006-01-01,31237.414,444946.0,444946.0,,,,98.824,1552.0,1552.0
2006-02-01,28493.637000000002,405864.0,405864.0,,,,117.245,1842.0,1842.0
2006-03-01,29031.282,413522.0,413522.0,,,,133.729,2101.0,2101.0
2006-04-01,26439.152000000002,376600.0,376600.0,,,,149.579,2350.0,2350.0
2006-05-01,30950.048,440853.0,440853.0,,,,173.25,2722.0,2722.0
2006-06-01,33439.627,476315.0,476315.0,,,,220.76700000000002,3468.0,3468.0
2006-07-01,35712.935,508696.0,508696.0,,,,277.553,4360.0,4360.0
2006-08-01,36135.342000000004,514713.0,514713.0,,,,281.053,4415.0,4415.0
2006-09-01,31903.413,454433.0,454433.0,,,,191.229,3004.0,3004.0
2006-10-01,30422.931,433345.0,433345.0,,,,173.14100000000002,2720.0,2720.0
2006-11-01,29960.921000000002,426764.0,426764.0,,,,128.584,2020.0,2020.0
2006-12-01,32808.299,467322.0,467322.0,,,,134.046,2106.0,2106.0
2007-01-01,49261.387,671234.0,671234.0,,,,185.613,2529.0,2529.0
2007-02-01,31067.738,419019.0,419019.0,,,,121.262,1635.0,1635.0
2007-03-01,28756.016,452402.0,452402.0,,,,159.984,2517.0,2517.0
2007-04-01,35574.466,549580.0,549580.0,,,,267.534,4133.0,4133.0
2007-05-01,27000.936999999998,451637.0,451637.0,,,,887.063,14838.0,14838.0
2007-06-01,39304.171,581435.0,581435.0,,,,286.829,4243.0,4243.0
2007-07-01,29879.436,429237.0,429237.0,,,,113.56400000000001,1631.0,1631.0
2007-08-01,45166.753,626367.0,626367.0,,,,47.247,655.0,655.0
2007-09-01,32811.19,462292.0,462292.0,,,,3753.81,52889.0,52889.0
2007-10-01,39523.266,541415.0,541415.0,,,,614.734,8421.0,8421.0
2007-11-01,11878.008,186825.0,186825.0,,,,500.992,7880.0,7880.0
2007-12-01,32366.229,508360.0,508360.0,,,,508.771,7991.0,7991.0
2008-01-01,34660.562,536314.0,536314.0,,,,1167.438,18064.0,18064.0
2008-02-01,27978.9,450027.0,450027.0,,,,708.1,11389.0,11389.0
2008-03-01,18410.774,275825.0,275825.0,,,,807.226,12094.0,12094.0
2008-04-01,22048.389,322449.0,322449.0,,,,1143.611,16725.0,16725.0
2008-05-01,37421.41,514527.0,514527.0,,,,289.59000000000003,3982.0,3982.0
2008-06-01,36589.528,512117.0,512117.0,,,,253.472,3548.0,3548.0
2008-07-01,44491.74,607001.0,607001.0,,,,243.26,3319.0,3319.0
2008-08-01,45814.813,636798.0,636798.0,,,,82.187,1142.0,1142.0
2008-09-01,41528.763,585521.0,585521.0,,,,438.237,6179.0,6179.0
2008-10-01,39179.51,537257.0,537257.0,,,,218.49,2996.0,2996.0
2008-11-01,23729.445,365349.0,365349.0,,,,636.5550000000001,9801.0,9801.0
2008-12-01,26543.515,380118.0,380118.0,,,,552.485,7912.0,7912.0
2009-01-01,40976.084,561559.0,561559.0,,,,370.916,5083.0,5083.0
2009-02-01,33363.769,472600.0,472600.0,,,,255.23100000000002,3615.0,3615.0
2009-03-01,31434.635,443726.0,443726.0,,,,338.365,4776.0,4776.0
2009-04-01,37705.792,522389.0,522389.0,,,,199.208,2760.0,2760.0
2009-05-01,34334.437,479215.0,479215.0,,,,452.56300000000005,6317.0,6317.0
2009-06-01,31301.12,443981.0,443981.0,,,,444.88,6310.0,6310.0
2009-07-01,30569.076,440643.0,440643.0,,,,756.9240000000001,10911.0,10911.0
2009-08-01,28965.685,423566.0,423566.0,,,,1120.315,16382.0,16382.0
2009-09-01,20993.403,316340.0,316340.0,,,,1804.597,27193.0,27193.0
2009-10-01,30147.135,441164.0,441164.0,,,,685.865,10037.0,10037.0
2009-11-01,19136.9,323884.0,323884.0,,,,907.1,15352.0,15352.0
2009-12-01,32861.667,459723.0,459723.0,,,,690.3330000000001,9658.0,9658.0
2010-01-01,36137.447,510034.0,510034.0,,,,642.553,9069.0,9069.0
2010-02-01,30967.521,438033.0,438033.0,,,,592.479,8381.0,8381.0
2010-03-01,23919.591,357250.0,357250.0,,,,1149.409,17167.0,17167.0
2010-04-01,34221.137,482937.0,482937.0,,,,512.863,7238.0,7238.0
2010-05-01,27263.974000000002,390667.0,390667.0,,,,720.0260000000001,10317.0,10317.0
2010-06-01,32152.613,459840.0,459840.0,,,,565.3870000000001,8086.0,8086.0
2010-07-01,30502.428,439272.0,439272.0,,,,1118.5720000000001,16109.0,16109.0
2010-08-01,29790.75,436652.0,436652.0,,,,1585.25,23235.0,23235.0
2010-09-01,25975.106,381101.0,381101.0,,,,1551.894,22769.0,22769.0
2010-10-01,28617.864,420062.0,420062.0,,,,2001.1360000000002,29373.0,29373.0
2010-11-01,21804.202,342493.0,342493.0,,,,1892.798,29731.0,29731.0
2010-12-01,24155.138,358099.0,358099.0,,,,1937.862,28729.0,28729.0
