measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2012-10-01,0.0,0.0,0.0,,,
2012-11-01,0.0,0.0,0.0,,,
2012-12-01,0.0,0.0,0.0,,,
2013-01-01,0.0,0.0,0.0,,,
2013-02-01,0.0,0.0,0.0,,,
2013-03-01,0.0,0.0,0.0,,,
2013-04-01,0.0,0.0,0.0,,,
2013-05-01,0.0,0.0,0.0,,,
2013-06-01,0.0,0.0,0.0,,,
2013-07-01,0.0,0.0,0.0,,,
2013-08-01,0.0,0.0,0.0,,,
2013-09-01,0.0,0.0,0.0,,,
2013-10-01,0.0,0.0,0.0,,,
2013-11-01,0.0,0.0,0.0,,,
2013-12-01,0.0,0.0,0.0,,,
