measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2011-09-01,16046.0,169303.0,169303.0,,,
2011-10-01,7669.0,83552.0,83552.0,,,
2011-11-01,5937.0,65403.0,65403.0,,,
2011-12-01,2374.0,27623.0,27623.0,,,
2012-01-01,2839.0,31755.0,31755.0,,,
2012-02-01,3165.0,35763.0,35763.0,,,
2012-03-01,11033.0,116191.0,116191.0,,,
2012-04-01,11072.0,116692.0,116692.0,,,
2012-05-01,8267.0,89959.0,89959.0,,,
2012-06-01,10572.0,111946.0,111946.0,,,
2012-07-01,9570.0,101783.0,101783.0,,,
2012-08-01,9762.0,104845.0,104845.0,,,
2012-09-01,4319.0,46884.0,46884.0,,,
2012-10-01,11131.0,118157.0,118157.0,,,
2012-11-01,7375.0,81541.0,81541.0,,,
2012-12-01,5014.0,58833.0,58833.0,,,
2013-01-01,1584.0,18677.0,18677.0,,,
2013-02-01,1514.0,18330.5,18330.5,,,
2013-03-01,1378.0,15354.5,15354.5,,,
2013-04-01,3165.0,34566.0,34566.0,,,
2013-05-01,3139.0,34773.0,34773.0,,,
2013-06-01,7116.5,76233.5,76233.5,,,
2013-07-01,20558.0,214679.0,214679.0,,,
2013-08-01,19951.0,208466.0,208466.0,,,
2013-09-01,25769.0,268551.0,268551.0,,,
2013-10-01,11589.0,124562.0,124562.0,,,
2013-11-01,4814.0,55119.0,55119.0,,,
2013-12-01,1221.0,17632.0,17632.0,,,
2014-01-01,5846.0,64779.0,64779.0,,,
2014-02-01,7676.0,82293.0,82293.0,,,
2014-03-01,7819.0,84621.0,84621.0,,,
2014-04-01,4002.0,47581.0,47581.0,,,
2014-05-01,6724.0,77047.0,77047.0,,,
2014-06-01,4186.0,47940.0,47940.0,,,
2014-07-01,3217.0,37561.0,37561.0,,,
2014-08-01,5560.0,62239.0,62239.0,,,
2014-09-01,3888.0,43640.0,43640.0,,,
2014-10-01,6015.0,66408.0,66408.0,,,
2014-11-01,6396.0,69725.0,69725.0,,,
2014-12-01,839.0,13259.0,13259.0,,,
2015-01-01,2733.0,31995.0,31995.0,,,
2015-02-01,2934.0,33476.0,33476.0,,,
2015-03-01,2989.0,36182.0,36182.0,,,
2015-04-01,2679.0,31180.0,31180.0,,,
2015-05-01,2839.0,33410.0,33410.0,,,
2015-06-01,2303.0,28065.0,28065.0,,,
2015-07-01,2410.0,28489.0,28489.0,,,
2015-08-01,6084.0,65948.0,65948.0,,,
2015-09-01,2467.0,29715.0,29715.0,,,
2015-10-01,362.0,7315.0,7315.0,,,
2015-11-01,3288.0,37483.0,37483.0,,,
2015-12-01,1947.0,24278.0,24278.0,,,
2016-01-01,1973.0,25398.0,25398.0,,,
2016-02-01,-230.0,985.0,985.0,,,
2016-03-01,4869.0,56459.0,56459.0,,,
2016-04-01,3873.0,43981.0,43981.0,,,
2016-05-01,2593.0,31122.0,31122.0,,,
2016-06-01,4579.0,51800.0,51800.0,,,
2016-07-01,4997.0,55553.0,55553.0,,,
2016-08-01,14430.0,153548.0,153548.0,,,
2016-09-01,11002.0,120073.0,120073.0,,,
2016-10-01,6853.0,75732.0,75732.0,,,
2016-11-01,5775.0,65117.0,65117.0,,,
2016-12-01,4039.0,48140.0,48140.0,,,
2017-01-01,6531.073,71223.0,71223.0,,,
2017-02-01,5787.997,63119.0,63119.0,,,
2017-03-01,6819.591,74369.0,74369.0,,,
2017-04-01,6741.162,73513.0,73513.0,,,
2017-05-01,7693.184,83896.0,83896.0,,,
2017-06-01,9854.485,107465.0,107465.0,,,
2017-07-01,12088.973,131833.0,131833.0,,,
2017-08-01,11540.563,125852.0,125852.0,,,
2017-09-01,8511.004,92814.0,92814.0,,,
2017-10-01,7521.315,82021.0,82021.0,,,
2017-11-01,6255.173,68214.0,68214.0,,,
2017-12-01,8180.48,89209.0,89209.0,,,
2018-01-01,15313.189,162255.0,162255.0,,,
2018-02-01,13773.6,145941.0,145941.0,,,
2018-03-01,13925.355,147549.0,147549.0,,,
2018-04-01,12927.626,136977.0,136977.0,,,
2018-05-01,17492.56,185346.0,185346.0,,,
2018-06-01,19078.27,202147.0,202147.0,,,
2018-07-01,23724.612,251379.0,251379.0,,,
2018-08-01,22087.894,234036.0,234036.0,,,
2018-09-01,18738.986,198553.0,198553.0,,,
2018-10-01,15743.636,166815.0,166815.0,,,
2018-11-01,13591.011,144006.0,144006.0,,,
2018-12-01,14705.261,155812.0,155812.0,,,
2019-01-01,12789.993,136038.0,136038.0,,,
2019-02-01,10282.246,109365.0,109365.0,,,
2019-03-01,11048.425,117515.0,117515.0,,,
2019-04-01,9955.154,105886.0,105886.0,,,
2019-05-01,13541.696,144033.0,144033.0,,,
2019-06-01,15622.125,166162.0,166162.0,,,
2019-07-01,17976.186,191200.0,191200.0,,,
2019-08-01,19353.34,205848.0,205848.0,,,
2019-09-01,16726.527,177909.0,177909.0,,,
2019-10-01,12969.863,137951.0,137951.0,,,
2019-11-01,11764.408,125129.0,125129.0,,,
2019-12-01,13080.037,139123.0,139123.0,,,
2020-01-01,9781.753,105363.0,105363.0,,,
2020-02-01,9306.515,100244.0,100244.0,,,
2020-03-01,9068.837,97683.0,97683.0,,,
2020-04-01,8074.918,86978.0,86978.0,,,
2020-05-01,9667.154,104128.0,104128.0,,,
2020-06-01,11434.048,123160.0,123160.0,,,
2020-07-01,13911.31,149844.0,149844.0,,,
2020-08-01,13464.322,145029.0,145029.0,,,
2020-09-01,11110.499,119675.0,119675.0,,,
2020-10-01,9607.978,103491.0,103491.0,,,
2020-11-01,7525.702,81062.0,81062.0,,,
2020-12-01,8270.964,89089.0,89089.0,,,
2021-01-01,9107.162,98784.0,98784.0,,,
2021-02-01,27288.449,295993.0,295993.0,,,
2021-03-01,1274.35,13823.0,13823.0,,,
2021-04-01,8771.218,95140.0,95140.0,,,
2021-05-01,3458.346,37512.0,37512.0,,,
2021-06-01,11122.959,120649.0,120649.0,,,
2021-07-01,8983.011,97437.0,97437.0,,,
2021-08-01,2701.994,29308.0,29308.0,,,
2021-09-01,1881.958,20413.0,20413.0,,,
2021-10-01,3467.61,37612.0,37612.0,,,
2021-11-01,1314.077,14254.0,14254.0,,,
2021-12-01,983.866,10671.0,10671.0,,,
2022-01-01,5692.638,59390.0,59390.0,,,
2022-02-01,1356.655,14154.0,14154.0,,,
2022-03-01,7526.704,78525.0,78525.0,,,
2022-04-01,11010.882,114874.0,114874.0,,,
2022-05-01,14789.415,154295.0,154295.0,,,
2022-06-01,8083.981,84338.0,84338.0,,,
2022-07-01,34791.559,362973.0,362973.0,,,
2022-08-01,29696.265,309815.0,309815.0,,,
2022-09-01,13840.048,144390.0,144390.0,,,
2022-10-01,7429.995,77516.0,77516.0,,,
2022-11-01,6641.677,69291.0,69291.0,,,
2022-12-01,4485.179,46792.0,46792.0,,,
2023-01-01,1145.057,11815.0,11815.0,,,
2023-02-01,2622.656,27061.0,27061.0,,,
2023-03-01,8265.493,85285.0,85285.0,,,
2023-04-01,5752.79,59359.0,59359.0,,,
2023-05-01,12303.139,126947.0,126947.0,,,
2023-06-01,31741.765,327521.0,327521.0,,,
2023-07-01,32878.868,339254.0,339254.0,,,
2023-08-01,55999.094,577815.0,577815.0,,,
2023-09-01,35082.37,361990.0,361990.0,,,
2023-10-01,7530.447,77701.0,77701.0,,,
2023-11-01,21316.811,219953.0,219953.0,,,
2023-12-01,8558.509,88309.0,88309.0,,,
2024-01-01,16406.512,171411.0,171411.0,,,
2024-02-01,5478.706,57240.0,57240.0,,,
2024-03-01,8753.083,91450.0,91450.0,,,
2024-04-01,17660.939,184517.0,184517.0,,,
2024-05-01,25536.246,266795.0,266795.0,,,
2024-06-01,34957.066,365220.0,365220.0,,,
2024-07-01,12316.859,128683.0,128683.0,,,
2024-08-01,29300.75,306126.0,306126.0,,,
2024-09-01,17150.721,179186.0,179186.0,,,
2024-10-01,21305.383,222592.0,222592.0,,,
2024-11-01,17095.109,178605.0,178605.0,,,
2024-12-01,21567.625,225332.0,225332.0,,,
