measured_on,"Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2009-02-01,,,,,,,28910.0,410455.0,410455.0,,,
2009-03-01,,,,,,,35097.0,527483.0,527483.0,,,
2009-04-01,,,,,,,39187.0,572452.0,572452.0,,,
2009-05-01,,,,,,,24600.0,315453.0,315453.0,,,
2009-06-01,,,,,,,34613.0,470194.0,470194.0,,,
2009-07-01,,,,,,,37342.0,502105.0,502105.0,,,
2009-08-01,,,,,,,34818.0,470460.0,470460.0,,,
2009-09-01,,,,,,,40290.0,503238.0,503238.0,,,
2009-10-01,,,,,,,33196.0,481967.0,481967.0,,,
2009-11-01,,,,,,,30079.0,416747.0,416747.0,,,
2009-12-01,,,,,,,34418.0,457031.0,457031.0,,,
2010-01-01,,,,,,,22898.0,371364.0,371364.0,,,
2010-02-01,,,,,,,32935.0,522950.0,522950.0,,,
2010-03-01,,,,,,,37790.0,587202.0,587202.0,,,
2010-04-01,,,,,,,26465.0,399319.0,399319.0,,,
2010-05-01,,,,,,,27933.0,400453.0,400453.0,,,
2010-06-01,,,,,,,36548.0,544572.0,544572.0,,,
2010-07-01,,,,,,,38173.0,566941.0,566941.0,,,
2010-08-01,,,,,,,39124.0,584749.0,584749.0,,,
2010-09-01,,,,,,,31667.0,467544.0,467544.0,,,
2010-10-01,,,,,,,35735.0,486612.0,486612.0,,,
2010-11-01,,,,,,,40263.0,572838.0,572838.0,,,
2010-12-01,,,,,,,40042.0,598324.0,598324.0,,,
2011-01-01,,,,,,,32373.0,501579.0,501579.0,,,
2011-02-01,,,,,,,35683.0,557921.0,557921.0,,,
2011-03-01,,,,,,,38891.0,641441.0,641441.0,,,
2011-04-01,,,,,,,39370.0,619004.0,619004.0,,,
2011-05-01,,,,,,,27003.0,422336.0,422336.0,,,
2011-06-01,,,,,,,35489.0,580916.0,580916.0,,,
2011-07-01,,,,,,,35795.0,601403.0,601403.0,,,
2011-08-01,,,,,,,39278.0,629458.0,629458.0,,,
2011-09-01,,,,,,,33997.0,511174.0,511174.0,,,
2011-10-01,,,,,,,41207.0,604564.0,604564.0,,,
2011-11-01,,,,,,,32543.0,458294.0,458294.0,,,
2011-12-01,,,,,,,38451.0,546393.0,546393.0,,,
2012-01-01,,,,,,,39976.0,676643.0,676643.0,,,
2012-02-01,,,,,,,34163.0,532842.0,532842.0,,,
2012-03-01,,,,,,,42123.0,702541.0,702541.0,,,
2012-04-01,,,,,,,35041.0,548835.0,548835.0,,,
2012-05-01,,,,,,,24460.0,379198.0,379198.0,,,
2012-06-01,,,,,,,39625.0,638183.0,638183.0,,,
2012-07-01,,,,,,,39033.0,621341.0,621341.0,,,
2012-08-01,,,,,,,40807.0,686961.0,686961.0,,,
2012-09-01,,,,,,,33978.0,565591.0,565591.0,,,
2012-10-01,,,,,,,39704.0,584866.0,584866.0,,,
2012-11-01,,,,,,,37113.0,681424.0,681424.0,,,
2012-12-01,,,,,,,36500.0,677962.0,677962.0,,,
2013-01-01,9087.509,137545.0,137545.0,44.597,675.0,675.0,,,,12476.894,188845.0,188845.0
2013-02-01,2654.34,35950.0,35950.0,56.853,770.0,770.0,,,,2401.807,32530.0,32530.0
2013-03-01,15399.204,214571.0,214571.0,112.495,1568.0,1568.0,,,,16554.301,230666.0,230666.0
2013-04-01,15565.923,243525.0,243525.0,157.082,2458.0,2458.0,,,,21464.995,335814.0,335814.0
2013-05-01,13601.893,227387.0,227387.0,100.046,1673.0,1673.0,,,,16425.061,274583.0,274583.0
2013-06-01,13659.025,214123.0,214123.0,137.628,2158.0,2158.0,,,,15885.347,249024.0,249024.0
2013-07-01,18295.789,327721.0,327721.0,61.689,1105.0,1105.0,,,,5597.522,100265.0,100265.0
2013-08-01,12383.779,196357.0,196357.0,32.007,508.0,508.0,,,,26946.214,427259.0,427259.0
2013-09-01,10296.797,153284.0,153284.0,0.0,0.0,0.0,,,,29559.203,440036.0,440036.0
2013-10-01,6188.148,104223.0,104223.0,33.249,560.0,560.0,,,,14773.603,248823.0,248823.0
2013-11-01,9352.169,132633.0,132633.0,3.878,55.0,55.0,,,,22950.953,325491.0,325491.0
2013-12-01,10365.398,147535.0,147535.0,23.712,338.0,338.0,,,,13771.89,196021.0,196021.0
2014-01-01,14506.309,223921.0,223921.0,330.395,5100.0,5100.0,,,,20443.296,315564.0,315564.0
2014-02-01,12329.975,186968.0,186968.0,27.038,410.0,410.0,,,,20274.987,307443.0,307443.0
2014-03-01,11082.937,159858.0,159858.0,330.01,4760.0,4760.0,,,,18830.053,271601.0,271601.0
2014-04-01,14432.551,218280.0,218280.0,268.445,4060.0,4060.0,,,,19681.004,297658.0,297658.0
2014-05-01,7696.054,134152.0,134152.0,80.029,1395.0,1395.0,,,,7831.917,136520.0,136520.0
2014-06-01,14211.256,233650.0,233650.0,57.326,943.0,943.0,,,,24227.418,398327.0,398327.0
2014-07-01,12383.163,207819.0,207819.0,74.036,1243.0,1243.0,,,,22217.801,372867.0,372867.0
2014-08-01,10963.912,183752.0,183752.0,385.597,6463.0,6463.0,,,,23023.491,385867.0,385867.0
2014-09-01,8001.899,123761.0,123761.0,58.514,905.0,905.0,,,,25762.587,398457.0,398457.0
2014-10-01,4500.041,77631.0,77631.0,150.134,2590.0,2590.0,,,,20708.825,357253.0,357253.0
2014-11-01,11546.976,161784.0,161784.0,97.781,1370.0,1370.0,,,,29056.243,407105.0,407105.0
2014-12-01,12121.129,195933.0,195933.0,290.295,4693.0,4693.0,,,,24574.576,397238.0,397238.0
2015-01-01,11392.538,184279.0,184279.0,80.369,1300.0,1300.0,,,,21362.093,345540.0,345540.0
2015-02-01,12742.651,213241.0,213241.0,77.983,1305.0,1305.0,,,,22396.366,374790.0,374790.0
2015-03-01,7743.062,129628.0,129628.0,119.765,2005.0,2005.0,,,,25353.173,424441.0,424441.0
2015-04-01,4903.168,82104.0,82104.0,108.091,1810.0,1810.0,,,,29183.741,488687.0,488687.0
2015-05-01,4942.952,81429.0,81429.0,77.244,1273.0,1273.0,,,,17646.804,290710.0,290710.0
2015-06-01,8617.903,138656.0,138656.0,201.377,3240.0,3240.0,,,,23632.72,380233.0,380233.0
2015-07-01,11779.363,206635.0,206635.0,179.995,3158.0,3158.0,,,,20949.642,367501.0,367501.0
2015-08-01,13041.073,208398.0,208398.0,77.909,1245.0,1245.0,,,,24167.018,386192.0,386192.0
2015-09-01,8384.91,133767.0,133767.0,90.577,1445.0,1445.0,,,,18493.513,295033.0,295033.0
2015-10-01,6906.349,110398.0,110398.0,118.08,1888.0,1888.0,,,,16926.571,270570.0,270570.0
2015-11-01,10723.255,164853.0,164853.0,83.423,1283.0,1283.0,,,,26509.322,407538.0,407538.0
2015-12-01,14232.334,239386.0,239386.0,163.943,2758.0,2758.0,,,,15080.723,253656.0,253656.0
2016-01-01,11254.63,163593.0,163593.0,274.024,3983.0,3983.0,,,,18177.346,264218.0,264218.0
2016-02-01,13791.39,223449.0,223449.0,202.243,3277.0,3277.0,,,,17959.367,290978.0,290978.0
2016-03-01,14060.491,229001.0,229001.0,113.042,1841.0,1841.0,,,,21350.467,347731.0,347731.0
2016-04-01,14476.389,233069.0,233069.0,199.408,3210.0,3210.0,,,,18113.203,291622.0,291622.0
2016-05-01,2159.268,24612.0,24612.0,0.895,10.0,10.0,,,,5997.837,68365.0,68365.0
2016-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-07-01,7980.894,141899.0,141899.0,130.513,2321.0,2321.0,,,,7835.593,139316.0,139316.0
2016-08-01,18600.238,316761.0,316761.0,21.263,362.0,362.0,,,,21650.499,368707.0,368707.0
2016-09-01,17503.424,287551.0,287551.0,35.39,581.0,581.0,,,,22381.186,367684.0,367684.0
2016-10-01,11186.84,171743.0,171743.0,172.577,2649.0,2649.0,,,,20303.583,311706.0,311706.0
2016-11-01,13603.891,211163.0,211163.0,25.956,403.0,403.0,,,,27050.153,419880.0,419880.0
2016-12-01,13097.334,202139.0,202139.0,146.719,2264.0,2264.0,,,,24207.947,373616.0,373616.0
2017-01-01,9325.914,160708.0,160708.0,190.298,3279.0,3279.0,,,,18045.788,310973.0,310973.0
2017-02-01,12694.135,196650.0,196650.0,4.115,64.0,64.0,,,,21269.75,329499.0,329499.0
2017-03-01,12860.935,219034.0,219034.0,82.051,1397.0,1397.0,,,,24390.014,415386.0,415386.0
2017-04-01,11536.479,176889.0,176889.0,112.424,1724.0,1724.0,,,,23754.097,364222.0,364222.0
2017-05-01,8079.867,119388.0,119388.0,304.771,4503.0,4503.0,,,,12482.362,184440.0,184440.0
2017-06-01,14695.474,207023.0,207023.0,22.988,324.0,324.0,,,,23514.538,331262.0,331262.0
2017-07-01,9820.831,140562.0,140562.0,34.208,490.0,490.0,,,,29519.961,422508.0,422508.0
2017-08-01,10748.096,175202.0,175202.0,222.606,3629.0,3629.0,,,,27355.298,445913.0,445913.0
2017-09-01,8202.352,115522.0,115522.0,1040.168,14650.0,14650.0,,,,25718.48,362220.0,362220.0
2017-10-01,9133.787,140977.0,140977.0,283.504,4376.0,4376.0,,,,28015.709,432414.0,432414.0
2017-11-01,5363.114,84806.0,84806.0,868.069,13727.0,13727.0,,,,30760.817,486416.0,486416.0
2017-12-01,5694.284,92298.0,92298.0,1748.789,28346.0,28346.0,,,,18079.927,293054.0,293054.0
2018-01-01,5120.733,76393.0,76393.0,802.519,11972.0,11972.0,,,,11549.748,172303.0,172303.0
2018-02-01,5288.418,90210.0,90210.0,2094.358,35726.0,35726.0,,,,20935.224,357113.0,357113.0
2018-03-01,5485.319,89026.0,89026.0,550.856,8940.0,8940.0,,,,23507.825,381528.0,381528.0
2018-04-01,4257.426,74606.0,74606.0,529.242,9274.0,9274.0,,,,21229.332,372019.0,372019.0
2018-05-01,3399.15,56402.0,56402.0,508.986,8446.0,8446.0,,,,15126.864,251000.0,251000.0
2018-06-01,5617.601,96750.0,96750.0,104.087,1793.0,1793.0,,,,25447.312,438270.0,438270.0
2018-07-01,643.303,10455.0,10455.0,339.225,5513.0,5513.0,,,,12820.472,208359.0,208359.0
2018-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
