measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2004-06-01,1877.92,8974.52,52746.0,1.96,8.66,23.2,0.0,0.0,0.0
2004-07-01,1925.45,9201.67,50787.2,29.4,129.97,342.2,0.0,0.0,0.0
2004-08-01,1369.64,6545.47,33984.0,154.84,684.52,1363.0,0.0,0.0,0.0
2004-09-01,2259.13,10796.31,59118.0,4.9,21.66,81.2,0.0,0.0,0.0
2004-10-01,2218.39,10601.62,58386.4,6.86,30.33,87.0,0.0,0.0,0.0
2004-11-01,1140.72,5451.47,52392.0,22.54,99.64,255.2,0.0,0.0,0.0
2004-12-01,1178.55,5632.25,38326.4,0.98,4.33,11.6,0.0,0.0,0.0
2005-01-01,490.82,2345.61,15953.6,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-01,1199.89,5734.24,41205.6,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-01,1439.48,6879.23,47577.6,0.98,4.33,11.6,0.0,0.0,0.0
2005-04-01,1814.87,8673.21,53359.6,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-01,1800.32,8603.67,52557.2,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-01,1777.04,8492.42,47577.6,53.9,238.28,614.8,0.0,0.0,0.0
2005-07-01,1690.71,8079.85,58197.6,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-01,2233.91,10675.79,50032.0,27.44,121.31,324.8,0.0,0.0,0.0
2005-09-01,2558.86,12228.71,62846.8,17.64,77.98,150.8,0.0,0.0,0.0
2005-10-01,2147.58,10263.22,56262.4,0.98,4.33,17.4,0.0,0.0,0.0
2005-11-01,598.49,2860.16,17440.4,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-01,312.34,1492.66,10336.8,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-01,970.0,4635.6,33299.6,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-01,1290.1,6165.35,43117.2,0.98,4.33,11.6,0.0,0.0,0.0
2006-03-01,1544.24,7379.87,51235.6,0.98,4.33,11.6,0.0,0.0,0.0
2006-04-01,671.24,3207.83,19210.4,150.92,667.19,1658.8,0.0,0.0,0.0
2006-05-01,260.93,1246.98,8920.8,96.04,424.57,1229.6,0.0,0.0,0.0
2006-06-01,1694.59,8098.39,60132.8,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-01,2006.93,9591.06,67944.4,11.27,49.82,133.4,0.0,0.0,0.0
2006-08-01,2411.42,11524.1,57112.0,56.35,249.11,635.1,0.0,0.0,0.0
2006-09-01,2438.58,11653.9,59896.8,10.78,47.655,81.2,0.0,0.0,0.0
2006-10-01,2139.82,10226.13,56356.8,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-01,1760.55,8413.61,54256.4,7.35,32.495,75.4,0.0,0.0,0.0
2006-12-01,1135.87,5428.29,34102.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-01,302.64,1440.0,14136.0,0.49,3.0,11.5,0.0,0.0,0.0
2007-02-01,1202.8,5758.0,37453.0,0.98,3.0,11.5,0.0,0.0,0.0
2007-03-01,1917.69,9157.0,52675.0,0.49,3.0,3.0,0.0,0.0,0.0
2007-04-01,1862.4,8897.0,53218.0,0.98,3.0,17.5,0.0,0.0,0.0
2007-05-01,2020.51,9652.0,61053.0,0.98,3.0,29.0,0.0,0.0,0.0
2007-06-01,1871.13,8944.0,51165.0,31.85,142.0,304.5,0.0,0.0,0.0
2007-07-01,1898.29,9062.0,61030.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-01,2328.97,11139.0,69927.0,1.96,8.5,26.0,0.0,0.0,0.0
2007-09-01,2266.89,10832.0,70281.0,4.41,20.5,49.5,0.0,0.0,0.0
2007-10-01,1513.2,7222.0,44675.0,36.75,162.5,322.0,0.0,0.0,0.0
2007-11-01,0.0,0.0,0.0,69.58,307.5,760.0,0.0,0.0,0.0
2007-12-01,0.0,0.0,0.0,23.52,104.5,304.5,0.0,0.0,0.0
