measured_on,Black Liquor Generation,Black Liquor Quantity Consumed For Electricity,Black Liquor Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2002-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-01,,,,0.0,0.0,0.0,,,,,,
2003-03-01,,,,0.0,0.0,0.0,,,,,,
2003-07-01,,,,0.0,0.0,0.0,,,,,,
2004-01-01,28653.52328,171098.1,947100.0,235.61268,1406.91,7787.83,9691.816,57872.51,320348.7,8829.05905,52720.75,291831.54
2004-02-01,22020.5192,131490.6,747600.0,87.13244999999999,520.29,2958.16,8202.58155,48979.88,278478.9,7345.05081,43859.33,249365.6
2004-03-01,22845.40017,136416.19,758520.0,0.0,0.0,0.0,7928.72003,47344.58,263251.8,7660.9278,45745.52,254360.48
2004-04-01,17270.53143,103127.12,658080.0,806.28461,4814.55,30722.84,8897.22888,53127.81,339021.9,8311.21808,49628.58,316692.42
2004-05-01,10504.34676,62724.36,407160.0,1055.40125,6302.09,40908.51,7928.57598,47343.72,307320.3,6441.697,38465.15,249687.24
2004-06-01,21619.66111,129096.97,744240.0,0.0,0.0,0.0,8161.54408,48734.83,280954.8,6690.98881,39953.74,230332.08
2004-07-01,25556.19109,152603.08,886200.0,231.23854,1380.79,8018.55,10781.20018,64377.53,373854.6,7726.16719,46135.08,267916.66
2004-08-01,20704.55951,123632.64,772800.0,0.0,0.0,0.0,7096.48777,42375.09,264877.2,5469.50671,32659.94,204149.95
2004-09-01,18457.52359,110214.97,657000.0,157.26962,939.1,5598.05,8876.93105,53006.61,315976.5,4405.60074,26307.06,156818.42
2004-10-01,28553.35077,170499.95,963900.0,150.39076,898.02,5076.87,10116.28422,60407.13,341504.1,7385.76926,44102.47,249327.76
2004-11-01,21461.23515,128150.96,752640.0,1179.55983,7043.48,41366.86,8006.10659,47806.67,280772.1,4315.70144,25770.24,151350.54
2004-12-01,21432.89305,127981.73,752640.0,1348.38737,8051.59,47350.13,7885.37903,47085.78,276903.9,6183.89255,36925.73,217154.3
2005-01-01,24893.86873,148648.16,871500.0,159.36755,951.63,5579.24,10395.31967,62073.32,363925.8,7859.05406,46928.58,275134.64
2005-02-01,23084.17226,137841.97,756000.0,147.76884,882.37,4839.39,9536.4563,56944.81,312316.2,6511.71461,38883.25,213256.78
2005-03-01,20270.25954,121039.32,727440.0,1359.42929,8117.53,48785.92,9519.59034,56844.1,341630.1,3194.88984,19077.57,114655.2
2005-04-01,21446.32405,128061.93,774300.0,725.10678,4329.81,26179.32,11410.7822,68136.93,411975.9,7426.43797,44345.31,268124.78
2005-05-01,12299.92019,73446.22,443880.0,1435.60286,8572.38,51808.09,9312.60077,55608.11,336073.5,5357.55018,31991.41,193343.48
2005-06-01,21933.82842,130972.95,759360.0,156.33919,933.54,5412.54,8165.49847,48758.45,282693.6,5986.05593,35744.39,207240.22
2005-07-01,27524.855,164358.51,963900.0,290.75302,1736.17,10181.96,8451.74959,50467.73,295974.0,7499.27539,44780.25,262619.06
2005-08-01,20906.86254,124840.65,754320.0,271.50982999999997,1621.26,9796.08,7266.99726,43393.25,262193.4,5144.00337,30716.27,185595.74
2005-09-01,19946.35313,119105.19,761040.0,864.31555,5161.07,32977.39,6207.97218,37069.52,236861.1,4673.17914,27904.85,178302.08
2005-10-01,25925.97436,154811.16,948780.0,530.50293,3167.78,19414.14,9462.63634,56504.02,346292.1,6654.82637,39737.81,243538.24
2005-11-01,21466.2799,128181.09,760704.0,741.9614799999999,4430.46,26293.01,8044.87714,48038.18,285087.6,5107.04749,30495.59,180979.26
2005-12-01,19780.42027,118114.35,711648.0,1205.11545,7196.08,43356.92,9400.07738,56130.46,338190.3,6279.601900000001,37497.24,225923.72
2006-01-01,25886.2581,154574.0,946056.0,346.00658,2066.1,12645.38,10277.44009,61369.43,375606.0,8006.92224,47811.54,292626.18
2006-02-01,20261.624,120987.76,733656.0,1062.95579,6347.2,38488.72,9366.01341,55927.05,339135.3,5993.82681,35790.8,217031.32
2006-03-01,21324.06597,127331.89,760368.0,658.2439,3930.56,23471.49,7280.97182,43476.69,259623.0,6609.6853,39468.26,235686.44
2006-04-01,20413.50853,121894.7,752376.0,2025.87817,12097.08,74667.33,6717.113200000001,40109.74,247571.1,5883.886100000001,35134.31,216861.04
2006-05-01,8748.70328,52240.93,466320.0,1692.70203,10107.59,90223.75,5083.46151,30354.75,270956.7,4553.08619,27187.74,242686.84
2006-06-01,11290.24003,67417.14,501804.0,1849.34122,11042.93,82195.49,5927.37601,35394.0,263447.1,3912.06173,23360.0,173874.8
2006-07-01,22598.90942,134944.33,823980.0,267.5718,1597.75,9755.95,7535.93736,44999.16,274768.2,7301.84043,43601.31,266232.78
2006-08-01,21453.10314,128102.4,785112.0,248.21967999999998,1482.19,9084.01,7820.45879,46698.12,286202.7,7066.60939,42196.68,258614.33
2006-09-01,17979.18964,107358.71,835920.0,565.00797,3373.82,26269.34,5206.80274,31091.26,242083.8,4406.91765,26314.92,204894.14
2006-10-01,17846.59437,106566.94,873456.0,589.9319,3522.65,28872.71,4821.43444,28790.12,235972.8,4462.05928,26644.19,218384.1
2006-11-01,16938.32059,101143.39,820980.0,1106.40948,6606.68,53626.34,6454.05349,38538.94,312820.2,2622.00944,15656.74,127085.64
2006-12-01,23847.71923,142401.31,861924.0,89.51087,534.49,3235.18,7389.28355,44123.45,267069.6,6612.05935,39482.43,238978.52
2007-01-01,22713.141,135624.0,837744.0,112.65400000000001,673.0,4155.0,8478.362000000001,50627.0,312713.0,6957.076,41539.0,256603.0
2007-02-01,19619.9,117156.0,717528.0,276.95,1654.0,10128.0,8764.183,52334.0,320519.0,6359.187,37972.0,232565.0
2007-03-01,18907.258,112896.0,826032.0,191.84,1145.0,8381.0,8219.388,49083.0,359094.0,5953.99,35551.0,260122.0
2007-04-01,20046.058,119700.0,762120.0,549.625,3281.0,20896.0,8606.43,51389.0,327203.0,6433.66,38417.0,244598.0
2007-05-01,21879.172,130644.0,840168.0,214.239,1279.0,8227.0,7571.414000000001,45209.0,290745.0,6512.558,38890.0,250085.0
2007-06-01,22229.53,132744.0,822420.0,185.709,1109.0,6871.0,7436.87,44409.0,275140.0,6495.247,38786.0,240303.0
2007-07-01,5715.906,34128.0,241596.0,2094.989,12510.0,88550.0,6951.158,41504.0,293807.0,4081.9120000000003,24378.0,172531.0
2007-08-01,13815.638,82500.0,558072.0,788.3670000000001,4708.0,31845.0,9423.589,56272.0,380659.0,5549.645,33138.0,224174.0
2007-09-01,21010.62,125460.0,811080.0,37.265,222.0,1439.0,8773.543,52391.0,338688.0,5631.89,33630.0,217410.0
2007-10-01,21057.23,125736.0,852816.0,209.61200000000002,1251.0,8489.0,8329.707,49739.0,337352.0,5193.201,31010.0,210324.0
2007-11-01,21425.347,127932.0,816000.0,130.497,779.0,4970.0,8431.599,50350.0,321124.0,6466.5070000000005,38616.0,246282.0
2007-12-01,21765.283,129972.0,851328.0,437.786,2614.0,17124.0,8366.652,49959.0,327254.0,6678.395,39874.0,261219.0
2008-01-01,21227.811,126757.0,856034.0,367.853,2197.0,14834.0,7475.599,44639.0,301461.0,4992.499,29812.0,201328.0
2008-02-01,19691.475,117583.0,785158.0,382.22700000000003,2282.0,15241.0,7419.447,44304.0,295835.0,5955.062,35559.0,237446.0
2008-03-01,22646.027000000002,135226.0,843262.0,2182.871,13035.0,81283.0,5629.399,33615.0,209620.0,6542.063,39064.0,243604.0
2008-04-01,19007.311999999998,113498.0,751158.0,6774.47,40452.0,267723.0,1741.931,10402.0,68840.0,5533.654,33043.0,218687.0
2008-05-01,21115.956,126089.0,809819.0,5858.189,34981.0,224668.0,1392.861,8317.0,53418.0,6691.625,39958.0,256631.0
2008-06-01,20029.714,119603.0,785610.0,5164.646000000001,30840.0,202569.0,1688.953,10085.0,66245.0,6398.765,38209.0,250974.0
2008-07-01,22348.011,133446.0,860523.0,4827.675,28827.0,185892.0,1715.152,10242.0,66043.0,6263.826,37403.0,241192.0
2008-08-01,19007.34,113498.0,735022.0,6214.5070000000005,37109.0,240318.0,2797.904,16707.0,108196.0,6103.549,36446.0,236027.0
2008-09-01,17245.364,102977.0,783174.0,5189.5470000000005,30988.0,235676.0,2818.475,16830.0,127997.0,5008.549,29907.0,227456.0
2008-10-01,13448.28,80303.0,524552.0,6455.175,38546.0,251785.0,1364.497,8148.0,53222.0,5526.338000000001,32999.0,215556.0
2008-11-01,18296.235,109252.0,743850.0,5451.769,32554.0,221647.0,2589.521,15463.0,105279.0,3200.3430000000003,19110.0,130113.0
2008-12-01,14429.131000000001,86160.0,535630.0,5362.818,32023.0,199075.0,2212.213,13210.0,82121.0,3321.83,19836.0,123311.0
2009-01-01,17427.537,104065.0,541198.0,5692.932000000001,33994.0,176789.0,4746.374,28342.0,147395.0,6288.147,37548.0,195273.0
2009-02-01,12345.5,73718.0,514321.0,4827.414000000001,28826.0,201113.0,1766.122,10546.0,73578.0,5450.6630000000005,32547.0,227078.0
2009-03-01,16726.851000000002,99881.0,732169.0,4983.915,29760.0,218156.0,1224.391,7311.0,53594.0,6080.308,36307.0,266148.0
2009-04-01,14145.856,84469.0,597516.0,4562.254,27242.0,192708.0,2975.223,17766.0,125672.0,3293.11,19664.0,139100.0
2009-05-01,12131.887999999999,72443.0,587586.0,4230.092000000001,25259.0,204877.0,2202.187,13150.0,106659.0,3415.179,20393.0,165408.0
2009-06-01,11368.698,67886.0,506844.0,4241.245,25326.0,189085.0,2123.485,12680.0,94670.0,4419.733,26391.0,197042.0
2009-07-01,18676.96,111525.0,720872.0,4349.185,25970.0,167865.0,1057.05,6312.0,40799.0,5678.4220000000005,33907.0,219169.0
2009-08-01,17660.347999999998,105455.0,599005.0,6589.343000000001,39347.0,223498.0,3710.1910000000003,22155.0,125843.0,6550.419,39114.0,222178.0
2009-09-01,17942.76,107141.0,732362.0,5016.888,29957.0,204772.0,2212.75,13213.0,90317.0,4322.256,25809.0,176420.0
2009-10-01,22856.278,136481.0,832584.0,7248.469,43283.0,264039.0,1927.863,11512.0,70226.0,6823.048000000001,40742.0,248543.0
2009-11-01,17683.301,105592.0,791856.0,6564.799,39200.0,293971.0,1738.765,10383.0,77862.0,4569.881,27288.0,204639.0
2009-12-01,20194.535,120587.0,767473.0,7682.003000000001,45871.0,291947.0,1477.526,8823.0,56152.0,4307.332,25720.0,163696.0
2010-01-01,14806.982,88417.0,527342.0,6138.414000000001,36654.0,218616.0,3844.9790000000003,22959.0,136937.0,5434.107,32449.0,193533.0
2010-02-01,7904.834000000001,47202.0,389294.0,5824.1320000000005,34778.0,286824.0,1825.746,10902.0,89914.0,2630.489,15707.0,129545.0
2010-03-01,21586.004,128896.0,846004.0,8128.795,48539.0,318586.0,1106.8980000000001,6610.0,43382.0,5011.898,29927.0,196427.0
2010-04-01,21228.269,126760.0,784485.0,7380.062000000001,44068.0,272728.0,1510.784,9021.0,55831.0,4703.284000000001,28085.0,173809.0
2010-05-01,15846.901,94626.0,707815.0,5117.744000000001,30559.0,228588.0,2249.7070000000003,13434.0,100485.0,4781.273,28550.0,213560.0
2010-06-01,19875.337,118681.0,734994.0,5779.397,34510.0,213723.0,1345.6850000000002,8035.0,49764.0,5496.1320000000005,32819.0,203248.0
2010-07-01,21267.56,126994.0,770562.0,7168.987,42808.0,259745.0,1728.371,10321.0,62622.0,5779.112,34509.0,209388.0
2010-08-01,20049.078,119719.0,812448.0,5772.467000000001,34469.0,233917.0,999.6560000000001,5969.0,40509.0,5633.098,33637.0,228270.0
2010-09-01,20095.315,119995.0,778694.0,5761.8150000000005,34405.0,223270.0,1352.183,8074.0,52397.0,5714.572,34123.0,221440.0
2010-10-01,19084.173000000003,113957.0,720685.0,6519.159000000001,38928.0,246186.0,1727.001,10312.0,65218.0,5870.119000000001,35052.0,221676.0
2010-11-01,17185.968,102622.0,697437.0,7142.008000000001,42647.0,289835.0,872.15,5208.0,35393.0,4344.464,25942.0,176306.0
2010-12-01,16243.375,96994.0,621492.0,7287.206,43514.0,278818.0,2628.59,15696.0,100573.0,5226.314,31208.0,199965.0
