measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Tire-Derived Fuels Generation,Tire-Derived Fuels Quantity Consumed For Electricity,Tire-Derived Fuels Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2003-03-01,7484.712,91914.0,105653.0,0.0,0.0,0.0,0.0,0.0,0.0,2252.61,27662.0,31797.0,0.0,0.0,0.0
2003-04-01,6362.999000000001,78139.0,89819.0,0.0,0.0,0.0,0.0,0.0,0.0,1915.017,23517.0,27032.0,0.0,0.0,0.0
2003-05-01,6822.242,83779.0,96301.0,0.0,0.0,0.0,0.0,0.0,0.0,2053.232,25214.0,28983.0,0.0,0.0,0.0
2003-06-01,7517.941000000001,92322.0,106122.0,0.0,0.0,0.0,0.0,0.0,0.0,2262.61,27785.0,31938.0,0.0,0.0,0.0
2003-07-01,8270.586000000001,101565.0,116746.0,0.0,0.0,0.0,0.0,0.0,0.0,2489.127,30567.0,35136.0,0.0,0.0,0.0
2003-08-01,8734.126,107257.0,123289.0,0.0,0.0,0.0,0.0,0.0,0.0,2628.635,32280.0,37105.0,0.0,0.0,0.0
2003-09-01,7106.273,87267.0,100311.0,0.0,0.0,0.0,0.0,0.0,0.0,2138.714,26264.0,30189.0,0.0,0.0,0.0
2003-10-01,6674.928,81970.0,94222.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.8960000000002,24669.0,28357.0,0.0,0.0,0.0
2003-11-01,7003.375,86003.0,98858.0,0.0,0.0,0.0,0.0,0.0,0.0,2107.746,25883.0,29752.0,0.0,0.0,0.0
2003-12-01,8388.514000000001,103013.0,118410.0,0.0,0.0,0.0,0.0,0.0,0.0,2524.619,31003.0,35636.0,0.0,0.0,0.0
2004-01-01,1585.2787,15946.43,33428.72,,,,,,,238.14630000000002,2395.53,5021.78,,,
2004-02-01,1528.56809,15375.98,32183.86,,,,,,,238.50891000000001,2399.18,5021.78,,,
2004-03-01,1485.22657,14940.0,31232.74,,,,,,,238.80343,2402.14,5021.78,,,
2004-04-01,1242.24703,12495.85,25907.73,,,,,,,240.78897,2422.11,5021.78,,,
2004-05-01,1445.6124,14541.52,30363.56,,,,,,,239.0876,2405.0,5021.78,,,
2004-06-01,1381.43212,13895.92,28956.39,,,,,,,239.57587999999998,2409.91,5021.78,,,
2004-07-01,1586.07926,15954.49,33446.52,,,,,,,238.13974,2395.46,5021.78,,,
2004-08-01,1467.82974,14765.0,30851.04,,,,,,,238.92626,2403.38,5021.78,,,
2004-09-01,1142.84003,11495.91,23734.0,,,,,,,241.80897,2432.37,5021.78,,,
2004-10-01,1238.00901,12453.22,25815.05,,,,,,,240.82899,2422.52,5021.78,,,
2004-11-01,1178.71601,11856.78,24518.09,,,,,,,241.42399,2428.5,5021.78,,,
2004-12-01,1351.75675,13597.42,28306.08,,,,,,,239.81525,2412.32,5021.78,,,
2005-01-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2005-02-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2005-03-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2005-04-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2005-05-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2005-06-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2005-07-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2005-08-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2005-09-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2005-10-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2005-11-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2005-12-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2006-01-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2006-02-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2006-03-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2006-04-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2006-05-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2006-06-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2006-07-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2006-08-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2006-09-01,281.368,2830.3,8200.8,,,,,,,0.0,0.0,0.0,,,
2006-10-01,119.07700000000001,884.4,884.4,,,,,,,0.0,0.0,0.0,,,
2006-11-01,2822.322,28389.93,36855.32,,,,,,,0.0,0.0,0.0,,,
2006-12-01,3103.69,31220.23,40637.7,,,,,,,0.0,0.0,0.0,,,
2007-01-01,2941.3990000000003,29590.0,41049.0,,,,,,,0.0,0.0,0.0,,,
2007-02-01,8522.663,85730.0,122018.0,,,,,,,0.0,0.0,0.0,,,
2007-03-01,5653.286,56867.0,77149.0,,,,,,,0.0,0.0,0.0,,,
2007-04-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2007-05-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2007-06-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2007-07-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2007-08-01,271.765,2734.0,4127.0,,,,,,,0.0,0.0,0.0,,,
2007-09-01,0.0,0.0,643.0,,,,,,,0.0,0.0,0.0,,,
2007-10-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2007-11-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2007-12-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2008-01-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2008-02-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2008-03-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2008-04-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2008-05-01,199.0,2483.0,7268.0,,,,,,,0.0,0.0,0.0,,,
2008-06-01,1563.0,17610.0,32433.0,,,,,,,0.0,0.0,0.0,,,
2008-07-01,1697.0,18981.0,33288.0,,,,,,,0.0,0.0,0.0,,,
2008-08-01,557.0,6173.0,9947.0,,,,,,,0.0,0.0,0.0,,,
2008-09-01,1696.0,18276.0,25593.0,,,,,,,0.0,0.0,0.0,,,
2008-10-01,129.0,1613.0,3021.0,,,,,,,0.0,0.0,0.0,,,
2008-11-01,1159.0,12490.0,18041.0,,,,,,,0.0,0.0,0.0,,,
2008-12-01,306.0,3564.0,5672.0,,,,,,,0.0,0.0,0.0,,,
2009-01-01,2194.0,23695.0,34599.0,,,,,,,,,,,,
2009-02-01,0.0,0.0,0.0,,,,,,,,,,,,
2009-03-01,1999.0,21464.0,33773.0,,,,,,,,,,,,
2009-04-01,0.0,0.0,0.0,,,,,,,,,,,,
2009-05-01,0.0,0.0,0.0,,,,,,,,,,,,
2009-06-01,0.0,0.0,0.0,,,,,,,,,,,,
2009-07-01,0.0,0.0,0.0,,,,,,,,,,,,
2009-08-01,0.0,0.0,0.0,,,,,,,,,,,,
2009-09-01,0.0,0.0,0.0,,,,,,,,,,,,
2009-10-01,0.0,0.0,0.0,,,,,,,,,,,,
2009-11-01,0.0,0.0,0.0,,,,,,,,,,,,
2009-12-01,0.0,0.0,0.0,,,,,,,,,,,,
