measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2014-02-01,0.001,30.0,30.0,17.355,165.0,165.0,6.716,153530.0,153530.0
2014-03-01,0.001,24.0,24.0,40.905,389.0,389.0,5.192,118695.0,118695.0
2014-04-01,0.001,18.0,18.0,88.562,842.0,842.0,4.828,110361.0,110361.0
2014-05-01,0.001,18.0,18.0,76.961,732.0,732.0,5.056,115567.0,115567.0
2014-06-01,0.001,24.0,24.0,22.808,217.0,217.0,5.25,120005.0,120005.0
2014-07-01,0.001,18.0,18.0,26.937,256.0,256.0,3.349,76555.0,76555.0
2014-08-01,0.001,24.0,24.0,15.777,150.0,150.0,5.486,125402.0,125402.0
2014-09-01,0.001,18.0,18.0,18.654,177.0,177.0,4.474,102264.0,102264.0
2014-10-01,0.001,18.0,18.0,26.543,252.0,252.0,4.952,113212.0,113212.0
2014-11-01,0.002,48.0,48.0,34.478,328.0,328.0,4.047,92509.0,92509.0
2014-12-01,0.001,18.0,18.0,49.791,474.0,474.0,5.461,124836.0,124836.0
2015-01-01,2.825,87.0,87.0,22.831,213.0,213.0,2.606,77.0,77.0
2015-02-01,3.022,93.0,93.0,13.283,124.0,124.0,2.697,82.0,82.0
2015-03-01,3.626,110.0,110.0,41.179,384.0,384.0,2.635,80.0,80.0
2015-04-01,5.039,151.0,151.0,56.563,527.0,527.0,1.933,58.0,58.0
2015-05-01,4.348,134.0,134.0,0.093,1.0,1.0,2.22,67.0,67.0
2015-06-01,3.479,105.0,105.0,44.961,419.0,419.0,2.53,77.0,77.0
2015-07-01,4.313,128.0,128.0,17.181,160.0,160.0,3.068,93.0,93.0
2015-08-01,4.699,139.0,139.0,15.22,142.0,142.0,2.598,79.0,79.0
2015-09-01,3.044,93.0,93.0,17.391,162.0,162.0,2.572,78.0,78.0
2015-10-01,2.364,70.0,70.0,16.504,154.0,154.0,2.905,88.0,88.0
2015-11-01,2.672,81.0,81.0,29.297,273.0,273.0,2.674,81.0,81.0
2015-12-01,2.987,87.0,87.0,51.497,480.0,480.0,3.144,95.0,95.0
2016-01-01,1.605,93.0,93.0,12.974,120.0,120.0,2.301,145.0,145.0
2016-02-01,1.42,87.0,87.0,18.735,173.0,173.0,2.328,146.0,146.0
2016-03-01,1.587,99.0,99.0,26.417,244.0,244.0,2.65,166.0,166.0
2016-04-01,1.358,87.0,87.0,21.494,198.0,198.0,3.044,191.0,191.0
2016-05-01,3.218,203.0,203.0,11.469,106.0,106.0,3.134,197.0,197.0
2016-06-01,1.912,122.0,122.0,4.976,46.0,46.0,2.982,187.0,187.0
2016-07-01,2.196,139.0,139.0,3.768,35.0,35.0,3.357,210.0,210.0
2016-08-01,1.572,99.0,99.0,4.573,42.0,42.0,4.009,251.0,251.0
2016-09-01,1.29,81.0,81.0,4.481,41.0,41.0,2.399,151.0,151.0
2016-10-01,0.995,64.0,64.0,8.242,76.0,76.0,2.32,146.0,146.0
2016-11-01,1.436,93.0,93.0,5.814,54.0,54.0,2.406,151.0,151.0
2016-12-01,1.329,81.0,81.0,10.057,93.0,93.0,2.152,135.0,135.0
2017-01-01,1.26,41.0,41.0,6.939,64.0,64.0,5.957,182.0,182.0
2017-02-01,0.814,23.0,23.0,6.487,60.0,60.0,4.863,148.0,148.0
2017-03-01,0.91,29.0,29.0,6.925,64.0,64.0,7.691,234.0,234.0
2017-04-01,1.067,35.0,35.0,5.528,51.0,51.0,5.479,166.0,166.0
2017-05-01,1.017,29.0,29.0,5.443,50.0,50.0,6.403,194.0,194.0
2017-06-01,0.959,29.0,29.0,5.556,51.0,51.0,7.18,217.0,217.0
2017-07-01,0.85,23.0,23.0,5.969,55.0,55.0,8.557,259.0,259.0
2017-08-01,1.352,41.0,41.0,5.854,54.0,54.0,7.63,232.0,232.0
2017-09-01,1.216,35.0,35.0,5.34,49.0,49.0,6.713,204.0,204.0
2017-10-01,1.155,35.0,35.0,5.512,51.0,51.0,7.372,223.0,223.0
2017-11-01,1.181,35.0,35.0,5.987,55.0,55.0,6.232,189.0,189.0
2017-12-01,2.395,76.0,76.0,5.46,50.0,50.0,7.747,235.0,235.0
2018-01-01,0.325,23.0,23.0,8.178,74.0,74.0,2.816,243.0,243.0
2018-02-01,0.235,17.0,17.0,7.06,64.0,64.0,2.439,210.0,210.0
2018-03-01,0.497,41.0,41.0,7.506,68.0,68.0,3.235,279.0,279.0
2018-04-01,0.519,46.0,46.0,8.142,74.0,74.0,2.692,233.0,233.0
2018-05-01,0.514,46.0,46.0,9.091,83.0,83.0,2.939,254.0,254.0
2018-06-01,0.351,29.0,29.0,8.26,75.0,75.0,2.571,222.0,222.0
2018-07-01,0.24,23.0,23.0,7.893,72.0,72.0,2.834,245.0,245.0
2018-08-01,0.304,29.0,29.0,7.601,69.0,69.0,2.943,254.0,254.0
2018-09-01,0.309,29.0,29.0,8.573,78.0,78.0,2.446,211.0,211.0
2018-10-01,0.413,35.0,35.0,8.885,81.0,81.0,2.318,200.0,200.0
2018-11-01,0.348,29.0,29.0,9.401,86.0,86.0,2.062,179.0,179.0
2018-12-01,0.379,35.0,35.0,9.41,86.0,86.0,2.271,196.0,196.0
2019-01-01,0.664,41.0,41.0,12.115,108.0,108.0,2.663,171.0,171.0
2019-02-01,0.446,29.0,29.0,10.643,95.0,95.0,2.276,147.0,147.0
2019-03-01,0.559,35.0,35.0,12.483,111.0,111.0,2.439,157.0,157.0
2019-04-01,0.537,35.0,35.0,10.885,97.0,97.0,2.518,162.0,162.0
2019-05-01,0.414,29.0,29.0,11.481,102.0,102.0,2.385,154.0,154.0
2019-06-01,0.54,35.0,35.0,10.683,95.0,95.0,2.483,160.0,160.0
2019-07-01,0.759,46.0,46.0,11.676,104.0,104.0,3.39,218.0,218.0
2019-08-01,0.622,41.0,41.0,11.736,105.0,105.0,3.175,205.0,205.0
2019-09-01,0.638,41.0,41.0,11.087,99.0,99.0,2.519,162.0,162.0
2019-10-01,0.617,41.0,41.0,11.905,106.0,106.0,2.965,191.0,191.0
2019-11-01,0.368,23.0,23.0,12.36,110.0,110.0,2.691,173.0,173.0
2019-12-01,0.506,35.0,35.0,11.946,106.0,106.0,2.826,183.0,183.0
2020-01-01,0.497,23.0,23.0,19.215,168.0,168.0,4.04,145.0,145.0
2020-02-01,0.213,6.0,6.0,18.611,163.0,163.0,3.555,129.0,129.0
2020-03-01,0.459,17.0,17.0,20.123,176.0,176.0,3.383,123.0,123.0
2020-04-01,0.255,12.0,12.0,20.232,177.0,177.0,3.01,109.0,109.0
2020-05-01,0.549,17.0,17.0,22.434,197.0,197.0,3.049,111.0,111.0
2020-06-01,0.519,17.0,17.0,19.761,173.0,173.0,3.325,121.0,121.0
2020-07-01,0.594,23.0,23.0,21.248,186.0,186.0,4.474,162.0,162.0
2020-08-01,0.866,29.0,29.0,18.954,166.0,166.0,3.574,129.0,129.0
2020-09-01,0.369,12.0,12.0,20.262,178.0,178.0,3.098,112.0,112.0
2020-10-01,0.152,6.0,6.0,20.013,175.0,175.0,3.388,123.0,123.0
2020-11-01,0.19,6.0,6.0,19.868,174.0,174.0,2.591,94.0,94.0
2020-12-01,0.625,23.0,23.0,22.279,195.0,195.0,3.225,117.0,117.0
2021-01-01,-0.113,29.0,29.0,-6.403,0.0,0.0,-2.554,441.0,441.0
2021-02-01,-0.159,29.0,29.0,-5.08,0.0,0.0,-2.695,464.0,464.0
2021-03-01,-0.096,17.0,17.0,-5.617,0.0,0.0,-1.757,303.0,303.0
2021-04-01,-0.115,17.0,17.0,-5.797,0.0,0.0,-2.14,369.0,369.0
2021-05-01,-0.177,29.0,29.0,-5.438,0.0,0.0,-1.855,319.0,319.0
2021-06-01,-0.146,23.0,23.0,-5.293,0.0,0.0,-2.567,443.0,443.0
2021-07-01,-0.149,23.0,23.0,-5.191,0.0,0.0,-2.758,475.0,475.0
2021-08-01,-0.116,17.0,17.0,-5.59,0.0,0.0,-2.86,493.0,493.0
2021-09-01,-0.132,23.0,23.0,-4.79,0.0,0.0,-2.288,394.0,394.0
2021-10-01,-0.113,17.0,17.0,-5.161,0.0,0.0,-2.222,383.0,383.0
2021-11-01,-0.12,23.0,23.0,-5.055,0.0,0.0,-2.432,419.0,419.0
2021-12-01,-0.182,29.0,29.0,-5.585,0.0,0.0,-2.254,389.0,389.0
2022-01-01,-3.024,46.0,46.0,76.659,262.0,262.0,-24.057,393.0,393.0
2022-02-01,-4.838,81.0,81.0,63.29,216.0,216.0,-19.646,320.0,320.0
2022-03-01,-4.009,64.0,64.0,79.583,272.0,272.0,-20.16,328.0,328.0
2022-04-01,-8.21,134.0,134.0,77.677,265.0,265.0,-17.709,289.0,289.0
2022-05-01,-4.26,70.0,70.0,83.2,284.0,284.0,-16.731,273.0,273.0
2022-06-01,-4.221,70.0,70.0,83.774,286.0,286.0,-26.229,427.0,427.0
2022-07-01,-1.848,29.0,29.0,66.308,226.0,226.0,-35.073,572.0,572.0
2022-08-01,-3.423,58.0,58.0,74.521,254.0,254.0,-32.011,522.0,522.0
2022-09-01,-1.915,29.0,29.0,73.127,250.0,250.0,-28.295,462.0,462.0
2022-10-01,-3.495,58.0,58.0,61.005,208.0,208.0,-27.462,448.0,448.0
2022-11-01,-4.602,76.0,76.0,81.791,279.0,279.0,-18.686,305.0,305.0
2022-12-01,-4.592,76.0,76.0,80.065,273.0,273.0,-25.504,416.0,416.0
2023-01-01,-5.107,29.0,29.0,95.0,324.0,324.0,-33.198,213.0,213.0
2023-02-01,-3.776,23.0,23.0,92.0,314.0,314.0,-32.454,209.0,209.0
2023-03-01,-8.666,58.0,58.0,163.0,556.0,556.0,-36.234,234.0,234.0
2023-04-01,-6.322,41.0,41.0,131.0,447.0,447.0,-35.198,227.0,227.0
2023-05-01,-10.952,70.0,70.0,113.0,386.0,386.0,-32.301,208.0,208.0
2023-06-01,-7.839,52.0,52.0,64.0,218.0,218.0,-36.99,239.0,239.0
2023-07-01,-7.799,52.0,52.0,74.0,252.0,252.0,-45.011,291.0,291.0
2023-08-01,-5.713,35.0,35.0,90.0,307.0,307.0,-43.483,281.0,281.0
2023-09-01,-6.944,46.0,46.0,63.0,215.0,215.0,-39.662,256.0,256.0
2023-10-01,-10.758,70.0,70.0,84.0,287.0,287.0,-34.956,225.0,225.0
2023-11-01,-6.004,41.0,41.0,78.0,266.0,266.0,-33.933,219.0,219.0
2023-12-01,-6.585,41.0,41.0,94.0,321.0,321.0,-40.115,259.0,259.0
2024-01-01,-10.082,70.0,70.0,105.0,358.0,358.0,-39.694,265.0,265.0
2024-02-01,-8.147,52.0,52.0,107.0,365.0,365.0,-45.952,305.0,305.0
2024-03-01,-13.701,93.0,93.0,108.0,368.0,368.0,-42.987,286.0,286.0
2024-04-01,-7.067,46.0,46.0,121.0,413.0,413.0,-43.59,290.0,290.0
2024-05-01,-11.529,76.0,76.0,116.0,396.0,396.0,-50.228,334.0,334.0
2024-06-01,-5.646,35.0,35.0,112.0,382.0,382.0,-46.728,310.0,310.0
2024-07-01,-4.608,29.0,29.0,156.0,532.0,532.0,-60.457,402.0,402.0
2024-08-01,-7.004,46.0,46.0,142.0,485.0,485.0,-59.012,392.0,392.0
2024-09-01,-8.818,58.0,58.0,97.0,331.0,331.0,-48.129,319.0,319.0
2024-10-01,-9.595,64.0,64.0,98.0,334.0,334.0,-34.051,226.0,226.0
2024-11-01,-9.304,64.0,64.0,96.0,328.0,328.0,-41.985,278.0,278.0
2024-12-01,-5.944,41.0,41.0,102.0,348.0,348.0,-41.742,277.0,277.0
