measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2004-02-01,1028.19515,12055.68,68864.17,0.0,0.0,0.0,123.59485,1449.16,8277.86,0.0,0.0,0.0
2004-03-01,1006.748,11804.21,67427.69,0.0,0.0,0.0,229.221,2687.64,15352.24,0.0,0.0,0.0
2004-04-01,899.28103,10544.15,60230.01,0.0,0.0,0.0,67.74797,794.35,4537.47,0.0,0.0,0.0
2004-05-01,820.1803,9616.69,54932.08,0.0,0.0,0.0,280.7037,3291.28,18800.3,0.0,0.0,0.0
2004-06-01,870.51603,10206.88,58303.44,0.0,0.0,0.0,166.79496999999998,1955.69,11171.21,0.0,0.0,0.0
2004-07-01,1009.90703,11841.24,67639.22,0.0,0.0,0.0,276.45897,3241.5,18516.03,0.0,0.0,0.0
2004-08-01,1047.43517,12281.26,70152.65,0.0,0.0,0.0,238.15683,2792.41,15950.71,0.0,0.0,0.0
2004-09-01,956.71837,11217.6,64076.97,0.0,0.0,0.0,177.52663,2081.51,11889.99,0.0,0.0,0.0
2004-10-01,770.41427,9033.17,51599.06,0.0,0.0,0.0,79.69573,934.44,5337.68,0.0,0.0,0.0
2004-11-01,885.97665,10388.16,59338.84,0.0,0.0,0.0,186.24135,2183.7,12473.63,0.0,0.0,0.0
2004-12-01,1152.87473,13517.56,77214.68,0.0,0.0,0.0,125.33527,1469.57,8394.43,0.0,0.0,0.0
2005-01-01,181.37635999999998,2126.65,25709.78,168.16656,1971.77,23837.31,38.442209999999996,450.74,5449.12,121.86687,1428.9,17274.41
2005-02-01,264.74444,3104.15,23343.07,62.228989999999996,729.64,5486.86,54.788109999999996,642.4,4830.78,79.98746,937.86,7052.66
2005-03-01,277.26477,3250.96,25022.36,52.17263,611.73,4708.43,63.876729999999995,748.96,5764.69,107.54387,1260.96,9705.53
2005-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
