measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Jet Fuel Generation,Jet Fuel Quantity Consumed For Electricity,Jet Fuel Total Fuel Consumed,Petroleum Coke Generation,Petroleum Coke Quantity Consumed For Electricity,Petroleum Coke Total Fuel Consumed,Tire-Derived Fuels Generation,Tire-Derived Fuels Quantity Consumed For Electricity,Tire-Derived Fuels Total Fuel Consumed,Waste Coal Generation,Waste Coal Quantity Consumed For Electricity,Waste Coal Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-11-01,35235.0,407714.0,467265.0,32.0,365.0,419.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,492.0,8187.0,9018.0
2001-12-01,28948.0,386459.0,386459.0,6.0,83.0,83.0,,,,8640.0,115330.0,115330.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2002-01-01,28507.0,379546.0,383155.0,3.0,47.0,47.0,,,,8910.0,118849.0,119756.0,,,,0.0,0.0,0.0,,,
2002-02-01,25344.0,337434.0,342291.0,94.0,1455.0,1481.0,,,,7476.0,99721.0,100975.0,,,,0.0,0.0,0.0,,,
2002-03-01,31836.0,423869.0,428622.0,66.0,1024.0,1026.0,,,,5575.0,74364.0,74364.0,,,,0.0,0.0,0.0,,,
2002-04-01,21885.0,291380.0,294647.0,282.0,4407.0,4418.0,,,,3903.0,52061.0,52061.0,,,,0.0,0.0,0.0,,,
2002-05-01,25386.0,337993.0,341783.0,70.0,1094.0,1097.0,,,,9014.0,120236.0,120236.0,,,,576.0,18741.0,18741.0,,,
2002-06-01,27909.0,371584.0,375751.0,4.0,63.0,63.0,,,,7033.0,93812.0,93812.0,,,,1302.0,42363.0,42363.0,,,
2002-07-01,26864.0,357671.0,383182.0,3.0,47.0,47.0,,,,9541.0,127266.0,136085.0,,,,415.0,13503.0,13503.0,,,
2002-08-01,26727.0,355847.0,383263.0,28.0,438.0,439.0,,,,9476.0,126399.0,135878.0,,,,27.0,879.0,879.0,,,
2002-09-01,24674.0,328513.0,332197.0,47.0,735.0,736.0,,,,9998.0,133362.0,133362.0,,,,571.0,18579.0,18579.0,,,
2002-10-01,27045.0,360081.0,364119.0,23.0,359.0,360.0,,,,9603.0,128093.0,128093.0,,,,711.0,23134.0,23134.0,,,
2002-11-01,25333.0,337287.0,341069.0,4.0,63.0,63.0,,,,10266.0,136936.0,136936.0,,,,814.0,26485.0,26485.0,,,
2002-12-01,28746.0,382728.0,387020.0,47.0,735.0,736.0,,,,7583.0,101148.0,101148.0,,,,876.0,28502.0,28502.0,,,
2003-01-01,14000.0,177376.0,177376.0,147.0,1859.0,1859.0,,,,5669.0,71818.0,71818.0,,,,437.0,5540.0,5540.0,,,
2003-02-01,3524.0,53939.0,53939.0,342.0,5233.0,5233.0,,,,1275.0,19511.0,19511.0,,,,23.0,348.0,348.0,,,
2003-03-01,16095.0,235143.0,235143.0,142.0,2079.0,2079.0,,,,5862.0,85638.0,85638.0,,,,588.0,8596.0,8596.0,,,
2003-04-01,15790.0,231961.0,231961.0,402.0,5910.0,5910.0,,,,5708.0,83853.0,83853.0,,,,722.0,10611.0,10611.0,,,
2003-05-01,9667.0,142546.0,142546.0,196.0,2887.0,2887.0,,,,3791.0,55902.0,55902.0,,,,306.0,4516.0,4516.0,,,
2003-06-01,26747.0,362907.0,362907.0,103.0,1396.0,1396.0,,,,7632.0,103554.0,103554.0,233.0,3165.0,3165.0,551.0,7476.0,7476.0,,,
2003-07-01,25273.0,338752.0,338752.0,4.0,53.0,53.0,,,,8831.0,118369.0,118369.0,336.0,4499.0,4499.0,822.0,11018.0,11018.0,,,
2003-08-01,26726.0,371546.0,371546.0,46.0,642.0,642.0,,,,9551.0,132780.0,132780.0,,,,766.0,10655.0,10655.0,,,
2003-09-01,25967.0,329576.0,329576.0,51.0,642.0,642.0,,,,9486.0,120400.0,120400.0,,,,861.0,10926.0,10926.0,,,
2003-10-01,40165.0,344951.0,344951.0,0.0,0.0,0.0,,,,14128.0,121338.0,121338.0,230.0,1971.0,1971.0,1477.0,12688.0,12688.0,,,
2003-11-01,24203.0,314466.0,314466.0,230.0,2988.0,2988.0,,,,8142.0,105793.0,105793.0,0.0,0.0,0.0,893.0,11599.0,11599.0,,,
2003-12-01,27329.0,354707.0,354707.0,0.0,0.0,0.0,,,,9642.0,125144.0,125144.0,0.0,0.0,0.0,750.0,9740.0,9740.0,,,
2004-01-01,25541.0,336607.0,336607.0,214.0,2820.0,2820.0,,,,8096.0,106692.0,106692.0,0.0,0.0,0.0,711.0,9368.0,9368.0,,,
2004-02-01,24100.0,312482.0,312482.0,68.0,885.0,885.0,,,,8520.0,110473.0,110473.0,0.0,0.0,0.0,565.0,7330.0,7330.0,,,
2004-03-01,27474.0,349542.0,349542.0,6.0,77.0,77.0,,,,9173.0,116705.0,116705.0,0.0,0.0,0.0,932.0,11854.0,11854.0,,,
2004-04-01,16328.0,221438.0,221438.0,202.0,2744.0,2744.0,,,,5802.0,78680.0,78680.0,0.0,0.0,0.0,581.0,7873.0,7873.0,,,
2004-05-01,26191.0,328078.0,328078.0,152.0,1901.0,1901.0,,,,9028.0,113092.0,113092.0,0.0,0.0,0.0,685.0,8576.0,8576.0,,,
2004-06-01,25900.0,327872.0,327872.0,180.0,2281.0,2281.0,,,,9093.0,115110.0,115110.0,0.0,0.0,0.0,621.0,7864.0,7864.0,,,
2004-07-01,22151.0,290122.0,290122.0,35.0,463.0,463.0,,,,7560.0,99013.0,99013.0,7178.0,94010.0,94010.0,74.0,971.0,971.0,,,
2004-08-01,23780.0,302472.0,302472.0,21.0,267.0,267.0,,,,10994.0,139848.0,139848.0,2579.0,32810.0,32810.0,7.0,95.0,95.0,,,
2004-09-01,26733.0,335787.0,335787.0,52.0,659.0,659.0,,,,9053.0,113715.0,113715.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-10-01,27551.0,342509.0,342509.0,58.0,725.0,725.0,,,,9927.0,123408.0,123408.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-11-01,25155.0,317074.0,317074.0,83.0,1045.0,1045.0,,,,8827.0,111268.0,111268.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-12-01,27638.0,342843.0,342843.0,50.0,624.0,624.0,,,,9867.0,122404.0,122404.0,18.0,217.0,217.0,0.0,0.0,0.0,,,
2005-01-01,24716.0,314876.6,314876.6,83.0,1057.32,1057.32,,,,9191.0,117089.44,117089.44,1807.0,23018.22,23018.22,0.0,0.0,0.0,,,
2005-02-01,23932.0,309823.92,309823.92,74.0,956.34,956.34,,,,7179.0,92946.24,92946.24,2203.0,28525.75,28525.75,217.0,2806.08,2806.08,,,
2005-03-01,26767.0,342762.84,342762.84,177.0,2263.14,2263.14,,,,6201.0,79409.28,79409.28,1661.0,21265.75,21265.75,549.0,7027.65,7027.65,,,
2005-04-01,22848.0,291175.7,291175.7,124.0,1574.1,1574.1,,,,7883.0,100467.74,100467.74,1686.0,21483.56,21483.56,419.0,5336.8,5336.8,,,
2005-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-06-01,12997.0,163430.17,163430.17,377.0,4740.12,4740.12,,,,4752.0,59754.13,59754.13,537.0,6747.37,6747.37,0.0,0.0,0.0,,,
2005-07-01,17462.0,217300.99,217300.99,114.0,1413.72,1413.72,,,,10881.0,135406.34,135406.34,8988.0,111852.13,111852.13,0.0,0.0,0.0,,,
2005-08-01,13041.0,167008.14,167008.14,57.0,730.62,730.62,,,,14746.0,188850.54,188850.54,9708.0,124321.95,124321.95,0.0,0.0,0.0,,,
2005-09-01,21092.0,264861.98,264861.98,21.0,267.3,267.3,,,,11840.0,148683.44,148683.44,5463.0,68606.5,68606.5,0.0,0.0,0.0,,,
2005-10-01,3812.0,49347.16,49347.16,250.0,3237.3,3237.3,,,,1311.0,16968.1,16968.1,384.0,4964.98,4964.98,13.0,173.45,173.45,,,
2005-11-01,28037.0,341769.93,341769.93,37.0,451.44,451.44,,,,9278.0,113094.47,113094.47,2537.0,30926.88,30926.88,0.0,0.0,0.0,,,
2005-12-01,28249.0,342854.17,342854.17,214.0,2601.72,2601.72,,,,9187.0,111504.54,111504.54,2734.0,33187.0,33187.0,0.0,0.0,0.0,,,
2006-01-01,27770.0,338400.0,338400.0,33.0,398.0,398.0,,,,10465.0,127524.0,127524.0,3323.0,40495.0,40495.0,0.0,0.0,0.0,,,
2006-02-01,18872.0,226651.0,226651.0,90.0,1075.0,1075.0,,,,7182.0,86250.0,86250.0,2554.0,30675.0,30675.0,0.0,0.0,0.0,,,
2006-03-01,17770.0,222779.0,222779.0,148.0,1859.0,1859.0,,,,12781.0,160232.0,160232.0,5969.0,74830.0,74830.0,0.0,0.0,0.0,,,
2006-04-01,20048.0,248510.0,248510.0,44.0,546.0,546.0,,,,12124.0,150284.0,150284.0,2094.0,25960.0,25960.0,0.0,0.0,0.0,,,
2006-05-01,29383.0,353362.0,353362.0,175.0,2103.0,2103.0,,,,10507.0,126365.0,126365.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2006-06-01,26121.0,321954.0,321954.0,0.0,0.0,0.0,,,,10020.0,123504.0,123504.0,2325.0,28656.0,28656.0,0.0,0.0,0.0,,,
2006-07-01,25355.0,316660.0,316660.0,165.0,2061.0,2061.0,,,,9867.0,123228.0,123228.0,3150.0,39343.0,39343.0,0.0,0.0,0.0,,,
2006-08-01,25887.0,320384.0,320384.0,114.0,1408.0,1408.0,,,,10244.0,126786.0,126786.0,2617.0,32393.0,32393.0,0.0,0.0,0.0,,,
2006-09-01,27209.0,321548.0,321548.0,0.0,0.0,0.0,,,,9685.0,123020.0,123020.0,1848.0,26656.0,26656.0,0.0,0.0,0.0,,,
2006-10-01,19256.0,239290.0,239290.0,231.0,2869.0,2869.0,,,,8053.0,100072.0,100072.0,2571.0,31947.0,31947.0,0.0,0.0,0.0,,,
2006-11-01,24843.0,296758.0,296758.0,53.0,630.0,630.0,,,,11657.0,139249.0,139249.0,3270.0,39059.0,39059.0,0.0,0.0,0.0,,,
2006-12-01,28374.0,344447.0,344447.0,36.0,434.0,434.0,,,,10625.0,128979.0,128979.0,2157.0,26180.0,26180.0,0.0,0.0,0.0,,,
2007-01-01,27786.358,312169.0,312169.0,23.264,261.0,261.0,,,,11013.186,123729.0,123729.0,2336.192,26246.0,26246.0,0.0,0.0,0.0,,,
2007-02-01,25613.999,307305.0,307305.0,20.299,244.0,244.0,,,,9760.965,117108.0,117108.0,1881.737,22576.0,22576.0,0.0,0.0,0.0,,,
2007-03-01,21771.741,262127.0,262127.0,43.416000000000004,523.0,523.0,,,,8808.569000000001,106053.0,106053.0,1526.2730000000001,18376.0,18376.0,0.0,0.0,0.0,,,
2007-04-01,22797.406,275793.0,275793.0,242.067,2928.0,2928.0,,,,6848.802000000001,82854.0,82854.0,1341.725,16232.0,16232.0,0.0,0.0,0.0,,,
2007-05-01,23282.721,263787.0,263787.0,42.467,481.0,481.0,,,,9619.735,108989.0,108989.0,1755.077,19885.0,19885.0,0.0,0.0,0.0,,,
2007-06-01,25717.629,309039.0,309039.0,90.95400000000001,1093.0,1093.0,,,,10179.194,122319.0,122319.0,2029.2220000000002,24384.0,24384.0,0.0,0.0,0.0,,,
2007-07-01,25555.575,303455.0,303455.0,35.114000000000004,417.0,417.0,,,,9934.445,117965.0,117965.0,2807.867,33341.0,33341.0,0.0,0.0,0.0,,,
2007-08-01,26088.593,313816.0,313816.0,5.777,69.0,69.0,,,,10488.347,126163.0,126163.0,3017.282,36295.0,36295.0,0.0,0.0,0.0,,,
2007-09-01,23450.746,286572.0,286572.0,102.816,1256.0,1256.0,,,,9239.099,112903.0,112903.0,2839.34,34697.0,34697.0,0.0,0.0,0.0,,,
2007-10-01,20593.655,247039.0,247039.0,66.06700000000001,793.0,793.0,,,,8624.578,103459.0,103459.0,2522.699,30262.0,30262.0,0.0,0.0,0.0,,,
2007-11-01,26657.34,311164.0,311164.0,2.952,34.0,34.0,,,,10559.658,123260.0,123260.0,2948.051,34412.0,34412.0,0.0,0.0,0.0,,,
2007-12-01,27404.249,325624.0,325624.0,4.35,52.0,52.0,,,,10708.535,127241.0,127241.0,3126.8650000000002,37154.0,37154.0,0.0,0.0,0.0,,,
2008-01-01,25949.364,302275.0,302275.0,94.66,1103.0,1103.0,0.0,0.0,0.0,10180.109,118584.0,118584.0,3130.867,36470.0,36470.0,0.0,0.0,0.0,,,
2008-02-01,25551.788,296427.0,296427.0,0.49500000000000005,6.0,6.0,0.0,0.0,0.0,9560.533000000001,110912.0,110912.0,3289.184,38158.0,38158.0,0.0,0.0,0.0,,,
2008-03-01,28788.806,347525.0,347525.0,0.0,0.0,0.0,0.0,0.0,0.0,9376.527,113189.0,113189.0,3135.6670000000004,37852.0,37852.0,0.0,0.0,0.0,,,
2008-04-01,25270.941,301092.0,301092.0,130.71,1557.0,1557.0,0.0,0.0,0.0,9914.313,118124.0,118124.0,2832.036,33742.0,33742.0,0.0,0.0,0.0,,,
2008-05-01,19908.666,248918.0,248918.0,262.017,3276.0,3276.0,0.0,0.0,0.0,8254.843,103210.0,103210.0,2372.474,29663.0,29663.0,0.0,0.0,0.0,,,
2008-06-01,25021.233,328904.0,328904.0,5.538,73.0,73.0,0.0,0.0,0.0,10816.787,142187.0,142187.0,3226.442,42412.0,42412.0,0.0,0.0,0.0,,,
2008-07-01,25986.793,337605.0,337605.0,0.0,0.0,0.0,24.933,324.0,324.0,10688.393,138857.0,138857.0,3224.8810000000003,41896.0,41896.0,0.0,0.0,0.0,,,
2008-08-01,26235.427,340700.0,340700.0,0.4,5.0,5.0,0.0,0.0,0.0,11023.04,143148.0,143148.0,3006.1330000000003,39038.0,39038.0,0.0,0.0,0.0,,,
2008-09-01,25810.019,321166.0,321166.0,0.41800000000000004,5.0,5.0,11.413,142.0,142.0,10772.728,134050.0,134050.0,2734.4230000000002,34026.0,34026.0,0.0,0.0,0.0,,,
2008-10-01,16949.9,220470.0,220470.0,41.154,535.0,535.0,105.15400000000001,1368.0,1368.0,11974.515,155754.0,155754.0,3275.277,42602.0,42602.0,0.0,0.0,0.0,,,
2008-11-01,17581.792,231676.0,231676.0,18.931,249.0,249.0,8.754,115.0,115.0,17602.41,231948.0,231948.0,4843.113,63818.0,63818.0,0.0,0.0,0.0,,,
2008-12-01,21858.683,289187.0,289187.0,2.7510000000000003,36.0,36.0,2.088,28.0,28.0,16557.171000000002,219049.0,219049.0,2997.3070000000002,39654.0,39654.0,0.0,0.0,0.0,,,
2009-01-01,22611.102,299436.0,299436.0,9.115,121.0,121.0,11.684000000000001,155.0,155.0,15344.507000000001,203206.0,203206.0,2970.592,39339.0,39339.0,0.0,0.0,0.0,,,
2009-02-01,13616.009,189064.0,189064.0,163.597,2272.0,2272.0,71.635,995.0,995.0,7142.638,99179.0,99179.0,1246.121,17303.0,17303.0,0.0,0.0,0.0,,,
2009-03-01,739.4540000000001,9628.0,9628.0,0.0,0.0,0.0,0.0,0.0,0.0,540.419,7037.0,7037.0,80.12700000000001,1043.0,1043.0,0.0,0.0,0.0,,,
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-08-01,4504.9980000000005,65148.0,65148.0,79.965,1156.0,1156.0,101.068,1462.0,1462.0,0.0,0.0,0.0,81.96900000000001,1185.0,1185.0,0.0,0.0,0.0,,,
2009-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-12-01,5718.98,89326.0,89326.0,20.897000000000002,326.0,326.0,52.494,820.0,820.0,1697.009,26506.0,26506.0,301.62,4711.0,4711.0,0.0,0.0,0.0,,,
2010-01-01,13229.478,182709.0,182709.0,194.728,2689.0,2689.0,45.730000000000004,632.0,632.0,5249.5380000000005,72500.0,72500.0,1540.526,21276.0,21276.0,0.0,0.0,0.0,,,
2010-02-01,22933.222,311553.0,311553.0,46.084,626.0,626.0,9.379000000000001,127.0,127.0,8545.081,116087.0,116087.0,926.234,12583.0,12583.0,0.0,0.0,0.0,,,
2010-03-01,24881.398,369394.0,369394.0,95.501,1418.0,1418.0,19.958000000000002,296.0,296.0,3973.143,58986.0,58986.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-03-01,0.0,0.0,0.0,0.0,2226.0,2226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-04-01,0.0,0.0,0.0,145.0,6015.0,6015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-05-01,,,,480.219,10841.0,10841.0,,,,,,,9.675,218.0,218.0,,,,10710.106,241771.0,241771.0
2013-06-01,,,,276.635,4703.0,4703.0,,,,,,,0.0,0.0,0.0,,,,18404.365,312854.0,312854.0
2013-07-01,,,,229.254,4213.0,4213.0,,,,,,,0.0,0.0,0.0,,,,24622.746,452482.0,452482.0
2013-08-01,,,,314.156,5162.0,5162.0,,,,,,,0.0,0.0,0.0,,,,21548.844,354042.0,354042.0
2013-09-01,,,,376.374,6467.0,6467.0,,,,,,,1608.484,27639.0,27639.0,,,,21783.142,374299.0,374299.0
2013-10-01,,,,94.537,1562.0,1562.0,,,,,,,2003.274,33108.0,33108.0,,,,32833.189,542630.0,542630.0
2013-11-01,,,,117.508,2076.0,2076.0,,,,,,,2200.366,38869.0,38869.0,,,,21239.126,375187.0,375187.0
2013-12-01,,,,222.579,4146.0,4146.0,,,,,,,940.742,17523.0,17523.0,,,,23534.679,438376.0,438376.0
2014-01-01,,,,549.231,9598.0,9598.0,,,,,,,1349.18,23576.0,23576.0,,,,20237.589,353644.0,353644.0
2014-02-01,,,,186.41,3303.0,3303.0,,,,,,,2543.995,45082.0,45082.0,,,,24214.595,429105.0,429105.0
2014-03-01,,,,176.53,2963.0,2963.0,,,,,,,3302.828,55436.0,55436.0,,,,30314.642,508817.0,508817.0
2014-04-01,,,,141.669,2645.0,2645.0,,,,,,,1356.675,25329.0,25329.0,,,,11676.656,218000.0,218000.0
2014-05-01,0.0,0.0,0.0,65.565,1216.0,1216.0,0.0,0.0,0.0,0.0,0.0,0.0,3121.053,57906.0,57906.0,0.0,0.0,0.0,24670.382,457715.0,457715.0
2014-06-01,0.0,0.0,0.0,125.888,2176.0,2176.0,0.0,0.0,0.0,0.0,0.0,0.0,3230.491,55845.0,55845.0,0.0,0.0,0.0,20710.621,358020.0,358020.0
2014-07-01,0.0,0.0,0.0,48.054,787.0,787.0,0.0,0.0,0.0,0.0,0.0,0.0,3959.933,64835.0,64835.0,0.0,0.0,0.0,23846.013,390425.0,390425.0
2014-08-01,0.0,0.0,0.0,40.295,670.0,670.0,0.0,0.0,0.0,0.0,0.0,0.0,3590.038,59658.0,59658.0,0.0,0.0,0.0,25503.667,423810.0,423810.0
2014-09-01,0.0,0.0,0.0,10.007,162.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,2167.181,35046.0,35046.0,0.0,0.0,0.0,27117.812,438529.0,438529.0
2014-10-01,0.0,0.0,0.0,75.606,1278.0,1278.0,0.0,0.0,0.0,0.0,0.0,0.0,2040.619,34488.0,34488.0,0.0,0.0,0.0,22450.775,379440.0,379440.0
2014-11-01,0.0,0.0,0.0,189.72,3058.0,3058.0,0.0,0.0,0.0,0.0,0.0,0.0,2075.554,33453.0,33453.0,0.0,0.0,0.0,20813.726,335468.0,335468.0
2014-12-01,0.0,0.0,0.0,36.38,703.0,703.0,0.0,0.0,0.0,0.0,0.0,0.0,2307.991,44604.0,44604.0,0.0,0.0,0.0,17361.629,335529.0,335529.0
