measured_on,Agricultural By-Products Generation,Agricultural By-Products Quantity Consumed For Electricity,Agricultural By-Products Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2003-02-01,,,,0.0,0.0,0.0,796.888,7023.0,7023.0
2003-03-01,,,,0.0,0.0,0.0,846.2990000000001,7459.0,7459.0
2003-04-01,,,,0.0,0.0,0.0,806.101,7105.0,7105.0
2003-05-01,,,,0.0,0.0,0.0,830.2280000000001,7317.0,7317.0
2003-06-01,,,,0.0,0.0,0.0,875.865,7720.0,7720.0
2003-07-01,,,,0.0,0.0,0.0,1054.4180000000001,9293.0,9293.0
2003-08-01,,,,0.0,0.0,0.0,1019.215,8983.0,8983.0
2003-09-01,,,,0.0,0.0,0.0,820.6210000000001,7233.0,7233.0
2003-10-01,,,,0.0,0.0,0.0,784.244,6912.0,6912.0
2003-11-01,,,,0.0,0.0,0.0,656.981,5790.0,5790.0
2003-12-01,,,,0.0,0.0,0.0,954.745,8415.0,8415.0
2004-01-01,,,,0.0,0.0,0.0,185.102,3183.0,3183.0
2004-02-01,,,,0.0,0.0,0.0,155.399,2673.0,2673.0
2004-03-01,,,,0.0,0.0,0.0,195.655,3365.0,3365.0
2004-04-01,,,,0.0,0.0,0.0,420.581,7233.0,7233.0
2004-05-01,,,,0.0,0.0,0.0,216.32600000000002,3720.0,3720.0
2004-06-01,,,,0.0,0.0,0.0,582.817,10023.0,10023.0
2004-07-01,,,,0.0,0.0,0.0,324.301,5577.0,5577.0
2004-08-01,,,,0.0,0.0,0.0,850.183,14622.0,14622.0
2004-09-01,,,,0.0,0.0,0.0,1283.193,22068.0,22068.0
2004-10-01,,,,0.0,0.0,0.0,341.903,5880.0,5880.0
2004-11-01,,,,0.0,0.0,0.0,190.023,3268.0,3268.0
2004-12-01,,,,0.0,0.0,0.0,197.51600000000002,3397.0,3397.0
2005-01-01,,,,0.0,0.0,0.0,906.7130000000001,14357.91,14357.91
2005-02-01,,,,0.0,0.0,0.0,752.702,11919.12,11919.12
2005-03-01,,,,0.0,0.0,0.0,932.16,14760.86,14760.86
2005-04-01,,,,0.0,0.0,0.0,918.465,14544.0,14544.0
2005-05-01,,,,0.0,0.0,0.0,1082.722,17145.03,17145.03
2005-06-01,,,,0.0,0.0,0.0,1366.425,21637.5,21637.5
2005-07-01,,,,0.0,0.0,0.0,1712.539,27118.26,27118.26
2005-08-01,,,,0.0,0.0,0.0,1774.005,28091.58,28091.58
2005-09-01,,,,0.0,0.0,0.0,1349.9070000000002,21375.93,21375.93
2005-10-01,,,,0.0,0.0,0.0,1078.411,17076.76,17076.76
2005-11-01,,,,0.0,0.0,0.0,920.063,14569.31,14569.31
2005-12-01,,,,0.0,0.0,0.0,897.8870000000001,14218.15,14218.15
2006-01-01,,,,0.0,0.0,0.0,49.911,808.0,808.0
2006-02-01,,,,0.0,0.0,0.0,59.215,959.0,959.0
2006-03-01,,,,0.0,0.0,0.0,67.54,1093.0,1093.0
2006-04-01,,,,0.0,0.0,0.0,75.545,1223.0,1223.0
2006-05-01,,,,0.0,0.0,0.0,87.5,1417.0,1417.0
2006-06-01,,,,0.0,0.0,0.0,111.49900000000001,1805.0,1805.0
2006-07-01,,,,0.0,0.0,0.0,140.178,2269.0,2269.0
2006-08-01,,,,0.0,0.0,0.0,141.946,2298.0,2298.0
2006-09-01,,,,0.0,0.0,0.0,96.58,1564.0,1564.0
2006-10-01,,,,0.0,0.0,0.0,87.445,1416.0,1416.0
2006-11-01,,,,0.0,0.0,0.0,64.941,1051.0,1051.0
2006-12-01,,,,0.0,0.0,0.0,67.7,1096.0,1096.0
2007-01-01,,,,-0.5840000000000001,72.0,72.0,-1.114,140.0,140.0
2007-02-01,,,,-0.404,48.0,48.0,-3.2935000000000003,414.0,414.0
2007-03-01,,,,-0.546,66.0,66.0,-1.987,249.5,249.5
2007-04-01,,,,-0.604,78.0,78.0,-0.9295,116.5,116.5
2007-05-01,,,,-1.004,126.0,126.0,-8.5395,1074.0,1074.0
2007-06-01,,,,-0.396,48.0,48.0,-14.699,1848.0,1848.0
2007-07-01,,,,-0.34600000000000003,42.0,42.0,-27.378500000000003,3442.0,3442.0
2007-08-01,,,,-0.673,84.0,84.0,-49.525,6226.5,6226.5
2007-09-01,,,,-0.26,30.0,30.0,-13.07,1643.0,1643.0
2007-10-01,,,,-0.54,66.0,66.0,-7.8975,993.0,993.0
2007-11-01,,,,-0.8460000000000001,108.0,108.0,-1.062,133.5,133.5
2007-12-01,,,,-0.9560000000000001,120.0,120.0,-8.4245,1059.0,1059.0
2008-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-08-01,0.0,0.0,0.0,0.0,0.0,0.0,94.0,227.5,227.5
2009-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5
2009-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0
2010-01-01,0.0,0.0,0.0,0.396,6.0,6.0,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.0,0.281,6.0,6.0,0.0,0.0,0.0
2010-03-01,0.0,0.0,0.0,0.35100000000000003,6.0,6.0,0.0,0.0,0.0
2010-04-01,0.0,0.0,0.0,0.252,6.0,6.0,0.0,0.0,0.0
2010-05-01,0.0,0.0,0.0,0.304,6.0,6.0,0.0,0.0,0.0
2010-06-01,0.0,0.0,0.0,0.468,6.0,6.0,0.0,0.0,0.0
2010-07-01,0.0,0.0,0.0,0.3,6.0,6.0,534.5,10882.5,10882.5
2010-08-01,0.0,0.0,0.0,0.314,6.0,6.0,150.0,3290.5,3290.5
2010-09-01,0.0,0.0,0.0,0.232,6.0,6.0,145.5,2790.5,2790.5
2010-10-01,0.0,0.0,0.0,0.461,6.0,6.0,0.0,0.0,0.0
2010-11-01,0.0,0.0,0.0,0.35000000000000003,6.0,6.0,0.0,0.0,0.0
2010-12-01,0.0,0.0,0.0,0.29100000000000004,6.0,6.0,0.0,0.0,0.0
2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-01,0.0,0.0,0.0,0.0,0.0,0.0,291.5,4964.5,4964.5
2011-07-01,0.0,0.0,0.0,0.0,0.0,0.0,96.0,2163.5,2163.5
2011-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-01,0.0,0.0,0.0,2.0,24.0,24.0,0.0,0.0,0.0
2012-01-01,0.0,0.0,0.0,1.051,18.0,18.0,0.0,0.0,0.0
2012-02-01,0.0,0.0,0.0,0.899,12.0,12.0,0.0,0.0,0.0
2012-03-01,0.0,0.0,0.0,0.443,6.0,6.0,470.0,7854.0,7854.0
2012-04-01,0.0,0.0,0.0,0.846,12.0,12.0,1418.5,20691.5,20691.5
2012-05-01,0.0,0.0,0.0,1.053,18.0,18.0,0.0,0.0,0.0
2012-06-01,0.0,0.0,0.0,1.006,18.0,18.0,0.0,0.0,0.0
2012-07-01,0.0,0.0,0.0,0.268,6.0,6.0,0.0,0.0,0.0
2012-08-01,0.0,0.0,0.0,0.81,12.0,12.0,0.0,0.0,0.0
2012-09-01,0.0,0.0,0.0,0.374,6.0,6.0,0.0,0.0,0.0
2012-10-01,0.0,0.0,0.0,0.53,6.0,6.0,0.0,0.0,0.0
2012-11-01,0.0,0.0,0.0,1.724,24.0,24.0,0.0,0.0,0.0
2012-12-01,0.0,0.0,0.0,0.996,12.0,12.0,0.0,0.0,0.0
2013-01-01,,,,0.148,44.0,44.0,0.0,0.0,0.0
2013-02-01,,,,0.0795,23.5,23.5,0.0,0.0,0.0
2013-03-01,,,,0.0965,29.5,29.5,0.0,0.0,0.0
2013-04-01,,,,0.082,26.5,26.5,0.0,0.0,0.0
2013-05-01,,,,0.2805,85.5,85.5,0.0,0.0,0.0
2013-06-01,,,,0.1765,53.0,53.0,0.0,0.0,0.0
2013-07-01,,,,0.073,23.5,23.5,0.0,0.0,0.0
2013-08-01,,,,0.0455,14.5,14.5,0.0,0.0,0.0
2013-09-01,,,,0.0765,23.5,23.5,342.0,5302.0,5302.0
2013-10-01,,,,0.125,38.0,38.0,0.0,0.0,0.0
2013-11-01,,,,0.078,23.5,23.5,0.0,0.0,0.0
2013-12-01,,,,0.239,73.5,73.5,0.0,0.0,0.0
2014-01-01,,,,0.3215,3.0,3.0,0.0,0.0,0.0
2014-02-01,,,,0.338,9.0,9.0,0.0,0.0,0.0
2014-03-01,,,,0.43,9.0,9.0,741.0,10241.0,10241.0
2014-04-01,,,,0.2625,6.0,6.0,1655.0,25333.0,25333.0
2014-05-01,,,,0.456,12.0,12.0,256.0,4493.0,4493.0
2014-06-01,,,,0.3155,6.0,6.0,0.0,0.0,0.0
2014-07-01,,,,0.0755,3.0,3.0,0.0,0.0,0.0
2014-08-01,,,,0.3385,9.0,9.0,0.0,0.0,0.0
2014-09-01,,,,0.306,6.0,6.0,0.0,0.0,0.0
2014-10-01,,,,0.216,6.0,6.0,0.0,0.0,0.0
2014-11-01,,,,0.0855,3.0,3.0,0.0,0.0,0.0
2014-12-01,,,,0.355,9.0,9.0,0.0,0.0,0.0
2015-01-01,,,,0.673,6.0,6.0,209.0,3067.0,3067.0
2015-02-01,,,,0.421,6.0,6.0,0.0,0.0,0.0
2015-03-01,,,,0.757,18.0,18.0,0.0,0.0,0.0
2015-04-01,,,,0.529,6.0,6.0,0.0,0.0,0.0
2015-05-01,,,,0.451,6.0,6.0,0.0,0.0,0.0
2015-06-01,,,,0.115,0.0,0.0,0.0,0.0,0.0
2015-07-01,,,,0.159,0.0,0.0,0.0,0.0,0.0
2015-08-01,,,,0.235,6.0,6.0,216.0,3353.0,3353.0
2015-09-01,,,,0.326,6.0,6.0,168.0,1537.0,1537.0
2015-10-01,,,,0.131,0.0,0.0,0.0,0.0,0.0
2015-11-01,,,,0.66,6.0,6.0,393.0,5898.0,5898.0
2015-12-01,,,,0.543,6.0,6.0,0.0,0.0,0.0
2016-01-01,,,,1.294,12.0,12.0,0.0,0.0,0.0
2016-02-01,,,,1.013,12.0,12.0,0.0,0.0,0.0
2016-03-01,,,,0.649,6.0,6.0,0.0,0.0,0.0
2016-04-01,,,,0.817,12.0,12.0,0.0,0.0,0.0
2016-05-01,,,,1.661,18.0,18.0,0.0,0.0,0.0
2016-06-01,,,,1.211,18.0,18.0,37.0,630.0,630.0
2016-07-01,,,,0.924,12.0,12.0,0.0,0.0,0.0
2016-08-01,,,,0.168,0.0,0.0,1346.0,20310.0,20310.0
2016-09-01,,,,0.729,12.0,12.0,0.0,0.0,0.0
2016-10-01,,,,0.945,12.0,12.0,0.0,0.0,0.0
2016-11-01,,,,2.705,35.0,35.0,0.0,0.0,0.0
2016-12-01,,,,1.884,24.0,24.0,0.0,0.0,0.0
2017-01-01,,,,0.655,6.0,6.0,0.0,0.0,0.0
2017-02-01,,,,0.357,6.0,6.0,0.0,0.0,0.0
2017-03-01,,,,0.459,6.0,6.0,0.0,0.0,0.0
2017-04-01,,,,0.557,6.0,6.0,0.0,0.0,0.0
2017-05-01,,,,0.593,6.0,6.0,0.0,0.0,0.0
2017-06-01,,,,0.408,6.0,6.0,361.0,5816.0,5816.0
2017-07-01,,,,0.32,6.0,6.0,0.0,0.0,0.0
2017-08-01,,,,0.265,6.0,6.0,0.0,0.0,0.0
2017-09-01,,,,0.415,6.0,6.0,0.0,0.0,0.0
2017-10-01,,,,0.482,6.0,6.0,0.0,0.0,0.0
2017-11-01,,,,0.754,6.0,6.0,0.0,0.0,0.0
2017-12-01,,,,0.735,12.0,12.0,0.0,0.0,0.0
2018-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,,,,0.0,0.0,0.0,279.0,3953.0,3953.0
2018-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-01,,,,5.0,53.0,53.0,0.0,0.0,0.0
2019-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,,,,0.0,0.0,0.0,1649.0,24577.0,24577.0
2019-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,,,,0.0,0.0,0.0,2799.0,39210.0,39210.0
2019-10-01,,,,0.0,0.0,0.0,800.0,11227.0,11227.0
2019-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,,,,4.0,59.0,59.0,0.0,0.0,0.0
2020-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,,,,0.0,0.0,0.0,1831.0,26846.0,26846.0
2020-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,,,,3.0,41.0,41.0,0.0,0.0,0.0
2021-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,,,,0.0,0.0,0.0,514.0,7883.0,7883.0
2021-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,,,,4.0,47.0,47.0,0.0,0.0,0.0
2022-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,,,,0.0,0.0,0.0,334.0,4878.0,4878.0
2022-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,,,,3.0,41.0,41.0,917.0,14119.0,14119.0
2023-01-01,,,,0.0,0.0,0.0,2245.0,36635.0,36635.0
2023-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-01,,,,0.0,0.0,0.0,133.0,2287.0,2287.0
2023-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-01,,,,0.0,0.0,0.0,336.0,7141.0,7141.0
2023-10-01,,,,0.0,0.0,0.0,157.0,2472.0,2472.0
2023-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-01,,,,2.0,24.0,24.0,0.0,0.0,0.0
2024-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,,,,0.0,0.0,0.0,542.0,8511.0,8511.0
2024-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,,,,0.0,0.0,0.0,3774.0,57591.0,57591.0
2024-09-01,,,,0.0,0.0,0.0,269.0,3659.0,3659.0
2024-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,,,,3.0,29.0,29.0,0.0,0.0,0.0
