measured_on,"Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2004-03-01,10344.00505,176144.14,176144.14,8463.2526,144117.52,144117.52,1429.48735,24342.2,24342.2
2004-04-01,10343.91919,176144.14,176144.14,8463.18235,144117.52,144117.52,1369.20246,23315.82,23315.82
2004-05-01,10344.18655,176144.14,176144.14,8463.401100000001,144117.52,144117.52,1558.96935,26546.63,26546.63
2004-06-01,10343.88763,176144.14,176144.14,8463.15653,144117.52,144117.52,1346.68184,22932.39,22932.39
2004-07-01,10345.55459,176144.14,176144.14,8464.520400000001,144117.52,144117.52,2589.27602,44085.2,44085.2
2004-08-01,10345.34258,176144.14,176144.14,8464.34694,144117.52,144117.52,2422.74647,41250.7,41250.7
2004-09-01,10345.00752,176144.14,176144.14,8464.0728,144117.52,144117.52,2164.94968,36862.53,36862.53
2004-10-01,10344.17536,176144.14,176144.14,8463.39194,144117.52,144117.52,1550.6697000000001,26405.33,26405.33
2004-11-01,10344.14757,176144.14,176144.14,8463.36921,144117.52,144117.52,1531.09022,26072.0,26072.0
2004-12-01,10343.83582,176144.14,176144.14,8463.11414,144117.52,144117.52,1310.59004,22317.91,22317.91
2005-01-01,7591.78841,136984.57,164411.57,5965.33649,107637.23,129188.31,1667.1641000000002,30081.94,36104.94
2005-02-01,6959.42408,125574.33,137654.45,5467.47081,98653.85,108144.25,2734.05312,49332.66,54078.41
2005-03-01,6840.40202,123426.72,157633.13,5374.16338,96970.23,123844.5,2209.5726,39869.05,50918.33
2005-04-01,8584.11873,154889.97,179559.65,6745.2923,121710.58,141095.71,599.08496,10809.76,12531.45
2005-05-01,8584.11873,154889.97,179559.65,6745.2923,121710.58,141095.71,599.08496,10809.76,12531.45
2005-06-01,10317.7805,186171.78,207409.18,8107.22109,146284.93,162972.26,152.65440999999998,2754.46,3068.68
2005-07-01,10172.00948,183541.52,193959.36,7992.29316,144211.19,152396.64,245.68536,4433.09,4684.72
2005-08-01,9845.16009,177643.92,204444.76,7735.11097,139570.66,160627.44,393.77894,7105.26,8177.22
2005-09-01,10350.76045,186766.86,197296.95,8132.78219,146746.15,155019.83,246.87837,4454.62,4705.78
2005-10-01,9274.23444,167342.27,177763.87,7286.93597,131483.89,139672.33,976.94159,17627.72,18725.53
2005-11-01,9593.14458,173096.61,188402.52,7537.85028,136011.32,148038.0,373.58414,6740.87,7336.93
2005-12-01,9028.88109,162915.16,174946.27,7094.45919,128010.87,137464.34,341.69472,6165.46,6620.78
2006-01-01,,,,,,,475.64909,8582.51,9203.22
2006-02-01,,,,,,,309.98076,5508.59,5508.59
2006-03-01,,,,,,,617.03898,11133.72,12177.59
2006-04-01,,,,,,,2151.39223,38819.25,47897.78
2006-05-01,,,,,,,1617.36085,29183.31,35419.57
2006-06-01,,,,,,,411.38526,7422.95,7908.41
2006-07-01,,,,,,,488.12706000000003,8807.66,9485.37
2006-08-01,,,,,,,677.38462,12222.58,13153.32
2006-09-01,,,,,,,318.75478,5751.54,6064.69
2006-10-01,,,,,,,191.30185999999998,3451.81,3605.36
2006-11-01,,,,,,,279.18065,5037.47,5337.25
2006-12-01,,,,,,,226.627,4089.21,4297.91
2007-01-01,,,,,,,288.003,5197.0,5408.0
2007-02-01,,,,,,,393.951,7108.0,7780.0
2007-03-01,,,,,,,414.034,7470.0,7956.0
2007-04-01,,,,,,,763.41,13775.0,14692.0
2007-05-01,,,,,,,432.54900000000004,7805.0,8869.0
2007-06-01,,,,,,,430.54,7769.0,8571.0
2007-07-01,,,,,,,574.187,10361.0,11469.0
2007-08-01,,,,,,,625.524,11287.0,11489.0
2007-09-01,,,,,,,478.46,8633.0,9187.0
2007-10-01,,,,,,,416.521,7515.0,7649.0
2007-11-01,,,,,,,399.041,7200.0,7652.0
2007-12-01,,,,,,,386.935,6982.0,7512.0
2008-01-01,,,,,,,0.0,0.0,0.0
2008-02-01,,,,,,,0.0,0.0,0.0
2008-03-01,,,,,,,0.0,0.0,0.0
2008-04-01,,,,,,,509.57300000000004,9117.0,9117.0
2008-05-01,,,,,,,490.51300000000003,9436.0,9639.0
2008-06-01,,,,,,,493.725,9369.0,9699.0
2008-07-01,,,,,,,809.5590000000001,15033.0,15033.0
2008-08-01,,,,,,,1060.344,19506.0,19506.0
2008-09-01,,,,,,,1416.357,25517.0,25517.0
2008-10-01,,,,,,,423.481,7684.0,7684.0
2008-11-01,,,,,,,445.517,8372.0,8372.0
2008-12-01,,,,,,,1836.374,32860.0,32860.0
2009-01-01,,,,,,,252.93800000000002,4652.0,4652.0
2009-02-01,,,,,,,2352.503,45281.0,45281.0
2009-03-01,,,,,,,1032.528,18979.0,18979.0
2009-04-01,,,,,,,1098.496,19559.0,19559.0
2009-05-01,,,,,,,969.623,17918.0,17918.0
2009-06-01,,,,,,,637.926,11700.0,11700.0
2009-07-01,,,,,,,612.851,11073.0,11073.0
2009-08-01,,,,,,,528.363,9619.0,9619.0
2009-09-01,,,,,,,579.538,10649.0,10649.0
2009-10-01,,,,,,,752.797,13797.0,13797.0
2009-11-01,,,,,,,277.37100000000004,5067.0,5067.0
2009-12-01,,,,,,,385.981,7042.0,7042.0
2010-01-01,,,,,,,3081.677,54619.0,54619.0
2010-02-01,,,,,,,2555.63,48291.0,48291.0
2010-03-01,,,,,,,632.8770000000001,12043.0,12043.0
2010-04-01,,,,,,,844.918,15288.0,15288.0
2010-05-01,,,,,,,191.335,3454.0,3454.0
2010-06-01,,,,,,,393.30400000000003,7235.0,7235.0
2010-07-01,,,,,,,424.262,7862.0,7862.0
2010-08-01,,,,,,,353.11,6343.0,6343.0
2010-09-01,,,,,,,234.532,4490.0,4490.0
2010-10-01,,,,,,,1236.531,23200.0,23200.0
2010-11-01,,,,,,,946.248,16514.0,16514.0
2010-12-01,,,,,,,3908.4120000000003,75265.0,79669.0
2011-01-01,,,,,,,3191.36,63118.0,693916.0
2011-02-01,,,,,,,1130.283,21958.0,24299.0
2011-03-01,,,,,,,2229.236,41193.0,41193.0
2011-04-01,,,,,,,1157.609,21163.0,21163.0
2011-05-01,,,,,,,765.448,13875.0,13875.0
2011-06-01,,,,,,,938.035,17987.0,17987.0
2011-07-01,,,,,,,886.016,16914.0,16914.0
2011-08-01,,,,,,,638.633,11500.0,11500.0
2011-09-01,,,,,,,414.556,7928.0,7928.0
2011-10-01,,,,,,,1375.275,24580.0,24580.0
2011-11-01,,,,,,,756.402,14393.0,14393.0
2011-12-01,,,,,,,427.712,8210.0,8259.0
2012-01-01,,,,,,,463.229,8950.0,9039.0
2012-02-01,,,,,,,137.626,2634.0,2689.0
2012-03-01,,,,,,,586.328,11297.0,11681.0
2012-04-01,,,,,,,949.304,18667.0,19974.0
2012-05-01,,,,,,,1284.002,24703.0,31509.0
2012-06-01,,,,,,,875.92,16349.0,16349.0
2012-07-01,,,,,,,502.642,9630.0,9915.0
2012-08-01,,,,,,,675.913,12608.0,12608.0
2012-09-01,,,,,,,224.134,3772.0,4374.0
2012-10-01,,,,,,,761.441,14764.0,15637.0
2012-11-01,,,,,,,718.808,13493.0,13878.0
2012-12-01,,,,,,,1409.537,26808.0,26954.0
2013-01-01,,,,,,,386.306,7360.0,7756.0
2013-02-01,,,,,,,605.352,11525.0,11638.0
2013-03-01,,,,,,,588.601,11291.0,11291.0
2013-04-01,,,,,,,536.295,10345.0,10592.0
2013-05-01,,,,,,,954.19,17996.0,17996.0
2013-06-01,,,,,,,323.147,6056.0,6056.0
2013-07-01,,,,,,,1051.525,20136.0,20136.0
2013-08-01,,,,,,,522.592,10071.0,10071.0
2013-09-01,,,,,,,437.924,8368.0,8368.0
2013-10-01,,,,,,,750.077,14605.0,14605.0
2013-11-01,,,,,,,731.022,13647.0,13647.0
2013-12-01,,,,,,,644.704,12009.0,12009.0
2014-01-01,,,,,,,444.314,8131.0,8131.0
2014-02-01,,,,,,,829.596,16152.0,16152.0
2014-03-01,,,,,,,2333.045,45516.0,46550.0
2014-04-01,,,,,,,438.53,8268.0,8268.0
2014-05-01,,,,,,,462.81,8706.0,9460.0
2014-06-01,,,,,,,516.253,8898.0,8898.0
2014-07-01,,,,,,,325.166,6265.0,6265.0
2014-08-01,,,,,,,991.5,18885.0,19344.0
2014-09-01,,,,,,,365.839,7340.0,7379.0
2014-10-01,,,,,,,349.816,6948.0,7095.0
2014-11-01,,,,,,,277.071,5310.0,5310.0
2014-12-01,,,,,,,1075.612,21303.0,21709.0
2015-01-01,,,,,,,262.663,5023.0,7276.0
2015-02-01,,,,,,,369.653,7283.0,7376.0
2015-03-01,,,,,,,770.274,15897.0,16651.0
2015-04-01,,,,,,,523.048,10363.0,11201.0
2015-05-01,,,,,,,1034.103,19606.0,19606.0
2015-06-01,,,,,,,813.794,15981.0,15993.0
2015-07-01,,,,,,,616.448,12207.0,12299.0
2015-08-01,,,,,,,1769.728,33998.0,35365.0
2015-09-01,,,,,,,1438.758,28809.0,28876.0
2015-10-01,,,,,,,591.851,11840.0,11840.0
2015-11-01,,,,,,,772.722,15508.0,15637.0
2015-12-01,,,,,,,522.02,10312.0,10312.0
2016-01-01,,,,,,,239.814,3999.0,8880.0
2016-02-01,,,,,,,0.0,0.0,14496.0
2016-03-01,,,,,,,0.0,0.0,14043.0
2016-04-01,,,,,,,477.151,9049.0,10290.0
2016-05-01,,,,,,,422.218,8006.0,8149.0
2016-06-01,,,,,,,590.695,11215.0,12156.0
2016-07-01,,,,,,,935.337,18636.0,20149.0
2016-08-01,,,,,,,1298.899,25434.0,26648.0
2016-09-01,,,,,,,1338.987,24963.0,24963.0
2016-10-01,,,,,,,1029.621,19783.0,19865.0
2016-11-01,,,,,,,1848.264,35448.0,37228.0
2016-12-01,,,,,,,1988.93,38195.0,39580.0
2017-01-01,,,,,,,203.532,3145.0,3145.0
2017-02-01,,,,,,,4745.375,91958.0,94926.0
2017-03-01,,,,,,,1341.759,26000.0,26916.0
2017-04-01,,,,,,,1262.517,24200.0,26186.0
2017-05-01,,,,,,,1184.462,23161.0,25568.0
2017-06-01,,,,,,,743.701,14286.0,14286.0
2017-07-01,,,,,,,941.068,18800.0,19662.0
2017-08-01,,,,,,,964.115,18928.0,20458.0
2017-09-01,,,,,,,1329.427,26017.0,27905.0
2017-10-01,,,,,,,939.476,19244.0,28030.0
2017-11-01,,,,,,,2058.327,41365.0,50363.0
2017-12-01,,,,,,,762.8,14721.0,15013.0
2018-01-01,,,,,,,1189.584,23136.0,25372.0
2018-02-01,,,,,,,779.823,15472.0,17107.0
2018-03-01,,,,,,,1801.711,35362.0,35774.0
2018-04-01,,,,,,,999.268,19690.0,19899.0
2018-05-01,,,,,,,2193.436,45721.0,48354.0
2018-06-01,,,,,,,2062.513,40233.0,40638.0
2018-07-01,,,,,,,942.997,19128.0,20005.0
2018-08-01,,,,,,,807.88,15902.0,16617.0
2018-09-01,,,,,,,944.725,17575.0,19438.0
2018-10-01,,,,,,,577.217,11061.0,11956.0
2018-11-01,,,,,,,786.214,15645.0,16383.0
2018-12-01,,,,,,,691.247,13793.0,15088.0
2019-01-01,,,,,,,2157.246,41037.0,42953.0
2019-02-01,,,,,,,3944.631,71443.0,80118.0
2019-03-01,,,,,,,1439.936,27131.0,29272.0
2019-04-01,,,,,,,946.983,18540.0,18835.0
2019-05-01,,,,,,,969.969,19089.0,19204.0
2019-06-01,,,,,,,1020.368,21670.0,26152.0
2019-07-01,,,,,,,642.187,11840.0,12985.0
2019-08-01,,,,,,,370.307,6899.0,7273.0
2019-09-01,,,,,,,577.098,11001.0,11372.0
2019-10-01,,,,,,,988.572,18692.0,18692.0
2019-11-01,,,,,,,1548.586,30189.0,32042.0
2019-12-01,,,,,,,3046.729,59395.0,65891.0
2020-01-01,,,,,,,1090.486,20209.0,20873.0
2020-02-01,,,,,,,1118.773,21311.0,22021.0
2020-03-01,,,,,,,1908.94,36762.0,37587.0
2020-04-01,,,,,,,2803.694,54000.0,55277.0
2020-05-01,,,,,,,540.899,9930.0,13772.0
2020-06-01,,,,,,,153.825,2962.0,11316.0
2020-07-01,,,,,,,221.166,4179.0,4224.0
2020-08-01,,,,,,,139.823,2595.0,2820.0
2020-09-01,,,,,,,602.0,11741.0,12745.0
2020-10-01,,,,,,,479.347,9816.0,11650.0
2020-11-01,,,,,,,225.782,4361.0,5082.0
2020-12-01,,,,,,,549.178,10816.0,12914.0
2021-01-01,,,,,,,236.94,4462.0,4652.0
2021-02-01,,,,,,,297.958,5644.0,5872.0
2021-03-01,,,,,,,432.076,8270.0,8402.0
2021-04-01,,,,,,,591.796,11226.0,11363.0
2021-05-01,,,,,,,934.436,17898.0,18402.0
2021-06-01,,,,,,,1129.01,22345.0,24021.0
2021-07-01,,,,,,,1426.165,27099.0,27200.0
2021-08-01,,,,,,,1044.513,20770.0,22392.0
2021-09-01,,,,,,,580.774,11243.0,11472.0
2021-10-01,,,,,,,321.417,6177.0,6664.0
2021-11-01,,,,,,,467.386,8904.0,8904.0
2021-12-01,,,,,,,1615.765,31317.0,34732.0
2022-01-01,,,,,,,1717.217,32750.0,32763.0
2022-02-01,,,,,,,537.506,9985.0,10333.0
2022-03-01,,,,,,,974.833,18626.0,19316.0
2022-04-01,,,,,,,787.946,14614.0,15453.0
2022-05-01,,,,,,,644.649,12458.0,13219.0
2022-06-01,,,,,,,521.127,10457.0,11859.0
2022-07-01,,,,,,,447.161,8424.0,8424.0
2022-08-01,,,,,,,280.271,5254.0,5401.0
2022-09-01,,,,,,,135.175,2551.0,2633.0
2022-10-01,,,,,,,352.674,6705.0,6777.0
2022-11-01,,,,,,,594.229,11387.0,11762.0
2022-12-01,,,,,,,508.375,9711.0,9840.0
2023-01-01,,,,,,,4224.121,80866.0,87232.0
2023-02-01,,,,,,,670.686,13134.0,14580.0
2023-03-01,,,,,,,2570.385,51462.0,68709.0
2023-04-01,,,,,,,1069.673,20014.0,24804.0
2023-05-01,,,,,,,661.932,13128.0,16149.0
2023-06-01,,,,,,,597.414,10865.0,15622.0
2023-07-01,,,,,,,737.176,14363.0,17597.0
2023-08-01,,,,,,,512.792,9885.0,11241.0
2023-09-01,,,,,,,336.186,6492.0,9744.0
2023-10-01,,,,,,,0.0,0.0,12957.0
2023-11-01,,,,,,,163.904,3434.0,14620.0
2023-12-01,,,,,,,660.854,13765.0,20970.0
2024-01-01,,,,,,,514.413,10327.0,16595.0
2024-02-01,,,,,,,184.726,4307.0,6115.0
2024-03-01,,,,,,,21.826,611.0,7535.0
2024-04-01,,,,,,,0.0,0.0,0.0
2024-05-01,,,,,,,0.0,0.0,0.0
