measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Gaseous Propane Generation,Gaseous Propane Quantity Consumed For Electricity,Gaseous Propane Total Fuel Consumed,Waste Coal Generation,Waste Coal Quantity Consumed For Electricity,Waste Coal Total Fuel Consumed,Waste/Other Oil Generation,Waste/Other Oil Quantity Consumed For Electricity,Waste/Other Oil Total Fuel Consumed
2007-02-01,,,,,,,63167.779,745168.0,745168.0,3.221,38.0,38.0
2007-03-01,,,,,,,72773.152,830831.0,830831.0,103.848,1186.0,1186.0
2007-04-01,,,,,,,62857.039,729262.0,729262.0,133.961,1554.0,1554.0
2007-05-01,,,,,,,42804.166,484091.0,484091.0,314.834,3561.0,3561.0
2007-06-01,,,,,,,73149.33,837116.0,837116.0,258.67,2960.0,2960.0
2007-07-01,,,,,,,77426.67,892369.0,892369.0,0.33,4.0,4.0
2007-08-01,,,,,,,71689.354,808790.0,808790.0,126.646,1429.0,1429.0
2007-09-01,,,,,,,75198.617,826635.0,826635.0,1.383,15.0,15.0
2007-10-01,,,,,,,77024.218,692644.0,692644.0,85.78200000000001,771.0,771.0
2007-11-01,,,,,,,74863.894,831945.0,831945.0,229.10600000000002,2546.0,2546.0
2007-12-01,,,,,,,71546.07,807633.0,807633.0,162.93,1839.0,1839.0
2008-01-01,,,,,,,71631.0,814959.0,814959.0,,,
2008-02-01,,,,,,,53289.0,580258.0,580258.0,,,
2008-03-01,,,,,,,71512.0,779769.0,779769.0,,,
2008-04-01,,,,,,,52232.0,535983.0,535983.0,,,
2008-05-01,,,,,,,76284.0,810380.0,810380.0,,,
2008-06-01,,,,,,,67692.0,699179.0,699179.0,,,
2008-07-01,,,,,,,79569.0,839033.0,839033.0,,,
2008-08-01,,,,,,,81132.0,852000.0,852000.0,,,
2008-09-01,,,,,,,76391.0,788491.0,788491.0,,,
2008-10-01,,,,,,,79338.0,805814.0,805814.0,,,
2008-11-01,,,,,,,77484.0,791657.0,791657.0,,,
2008-12-01,,,,,,,76031.0,795718.0,795718.0,,,
2009-01-01,,,,,,,79308.0,861210.0,861210.0,,,
2009-02-01,,,,,,,71890.0,780727.0,780727.0,,,
2009-03-01,,,,,,,62734.0,671333.0,671333.0,,,
2009-04-01,,,,,,,59300.0,653520.0,653520.0,,,
2009-05-01,,,,,,,78535.0,865421.0,865421.0,,,
2009-06-01,,,,,,,76479.0,836360.0,836360.0,,,
2009-07-01,,,,,,,80152.0,873815.0,873815.0,,,
2009-08-01,,,,,,,78975.0,859439.0,859439.0,,,
2009-09-01,,,,,,,77605.0,842123.0,842123.0,,,
2009-10-01,,,,,,,79019.0,855003.0,855003.0,,,
2009-11-01,,,,,,,76063.0,822581.0,822581.0,,,
2009-12-01,,,,,,,75146.0,863048.0,863048.0,,,
2010-01-01,,,,,,,79922.0,924414.0,924414.0,,,
2010-02-01,,,,,,,64070.0,785330.0,785330.0,,,
2010-03-01,,,,,,,46699.0,676720.0,676720.0,,,
2010-04-01,,,,,,,71652.0,793558.0,793558.0,,,
2010-05-01,,,,,,,70511.0,817804.0,817804.0,,,
2010-06-01,,,,,,,77109.0,937395.0,937395.0,,,
2010-07-01,,,,,,,80773.0,998799.0,998799.0,,,
2010-08-01,,,,,,,80958.0,1002820.0,1002820.0,,,
2010-09-01,,,,,,,77678.0,955578.0,955578.0,,,
2010-10-01,,,,,,,80276.0,931648.0,931648.0,,,
2010-11-01,,,,,,,77295.0,1010361.0,1010361.0,,,
2010-12-01,,,,,,,79403.0,1041629.0,1041629.0,,,
2011-01-01,,,,,,,72756.0,811303.0,811303.0,,,
2011-02-01,,,,,,,72155.0,801959.0,801959.0,,,
2011-03-01,,,,,,,56138.0,631271.0,631271.0,,,
2011-04-01,,,,,,,57980.0,623123.0,623123.0,,,
2011-05-01,,,,,,,78465.0,859721.0,859721.0,,,
2011-06-01,,,,,,,77375.0,850625.0,850625.0,,,
2011-07-01,,,,,,,80569.0,850924.0,850924.0,,,
2011-08-01,,,,,,,79751.0,861424.0,861424.0,,,
2011-09-01,,,,,,,77754.0,836238.0,836238.0,,,
2011-10-01,,,,,,,80169.0,868277.0,868277.0,,,
2011-11-01,,,,,,,78034.0,856655.0,856655.0,,,
2011-12-01,,,,,,,80358.0,884245.0,884245.0,,,
2012-01-01,,,,,,,79709.0,803718.0,803718.0,,,
2012-02-01,,,,,,,75408.0,806738.0,806738.0,,,
2012-03-01,,,,,,,67347.0,801769.0,801769.0,,,
2012-04-01,,,,,,,75521.0,804024.0,804024.0,,,
2012-05-01,,,,,,,77167.0,802699.0,802699.0,,,
2012-06-01,,,,,,,64172.0,642696.0,642696.0,,,
2012-07-01,,,,,,,79499.0,804085.0,804085.0,,,
2012-08-01,,,,,,,79568.0,800469.0,800469.0,,,
2012-09-01,,,,,,,77368.0,805282.0,805282.0,,,
2012-10-01,,,,,,,46911.0,517360.0,517360.0,,,
2012-11-01,,,,,,,72980.0,801656.0,801656.0,,,
2012-12-01,,,,,,,80874.0,806499.0,806499.0,,,
2013-01-01,,,,74.162,824.0,824.0,78370.838,870251.0,870251.0,,,
2013-02-01,,,,0.0,0.0,0.0,71559.0,778941.0,778941.0,,,
2013-03-01,,,,0.0,0.0,0.0,79662.0,858236.0,858236.0,,,
2013-04-01,,,,0.0,0.0,0.0,78113.0,839120.0,839120.0,,,
2013-05-01,,,,0.0,0.0,0.0,80359.0,888989.0,888989.0,,,
2013-06-01,,,,0.0,0.0,0.0,72459.0,800672.0,800672.0,,,
2013-07-01,,,,0.0,0.0,0.0,72452.0,802318.0,802318.0,,,
2013-08-01,,,,0.0,0.0,0.0,73912.0,809315.0,809315.0,,,
2013-09-01,,,,307.778,3483.0,3483.0,67788.222,767132.0,767132.0,,,
2013-10-01,,,,0.0,0.0,0.0,78084.0,873283.0,873283.0,,,
2013-11-01,,,,250.716,2797.0,2797.0,70506.284,786572.0,786572.0,,,
2013-12-01,,,,644.231,7322.0,7322.0,56021.769,636714.0,636714.0,,,
2014-01-01,,,,0.0,0.0,0.0,79552.0,902454.0,902454.0,,,
2014-02-01,,,,215.386,2525.0,2525.0,69075.614,809861.0,809861.0,,,
2014-03-01,,,,748.667,8689.0,8689.0,43258.333,502040.0,502040.0,,,
2014-04-01,,,,549.676,5914.0,5914.0,72923.324,784603.0,784603.0,,,
2014-05-01,,,,0.0,0.0,0.0,79949.0,887627.0,887627.0,,,
2014-06-01,,,,462.732,5132.0,5132.0,72826.268,807671.0,807671.0,,,
2014-07-01,,,,0.0,0.0,0.0,77725.0,862362.0,862362.0,,,
2014-08-01,,,,568.871,6460.0,6460.0,69546.129,789769.0,789769.0,,,
2014-09-01,,,,115.161,1292.0,1292.0,75733.839,849333.0,849333.0,,,
2014-10-01,,,,404.117,4381.0,4381.0,72894.883,790271.0,790271.0,,,
2014-11-01,,,,348.187,3909.0,3909.0,72819.813,817449.0,817449.0,,,
2014-12-01,,,,1072.817,12143.0,12143.0,54675.183,618870.0,618870.0,,,
2015-01-01,,,,253.611,2859.0,2859.0,76208.389,858997.0,858997.0,,,
2015-02-01,,,,248.761,2785.0,2785.0,67862.239,759785.0,759785.0,,,
2015-03-01,,,,318.688,3541.0,3541.0,45440.312,504914.0,504914.0,,,
2015-04-01,,,,554.294,6085.0,6085.0,70882.706,778114.0,778114.0,,,
2015-05-01,,,,438.226,4778.0,4778.0,76770.774,836949.0,836949.0,,,
2015-06-01,,,,508.85,5562.0,5562.0,70510.15,770765.0,770765.0,,,
2015-07-01,,,,670.011,7508.0,7508.0,61339.989,687317.0,687317.0,,,
2015-08-01,,,,820.94,9159.0,9159.0,56106.06,625934.0,625934.0,,,
2015-09-01,,,,93.633,1026.0,1026.0,75543.367,828081.0,828081.0,,,
2015-10-01,,,,482.802,5381.0,5381.0,70308.198,783646.0,783646.0,,,
2015-11-01,,,,0.0,0.0,0.0,75689.0,844471.0,844471.0,,,
2015-12-01,,,,0.0,0.0,0.0,78228.0,869351.0,869351.0,,,
2016-01-01,,,,0.238,3.0,3.0,72282.762,797368.0,797368.0,,,
2016-02-01,,,,0.0,0.0,0.0,70469.0,798148.0,798148.0,,,
2016-03-01,,,,0.234,3.0,3.0,70921.766,795079.0,795079.0,,,
2016-04-01,,,,0.238,3.0,3.0,66367.762,731722.0,731722.0,,,
2016-05-01,,,,0.238,3.0,3.0,69463.762,767523.0,767523.0,,,
2016-06-01,,,,0.241,3.0,3.0,58861.759,640413.0,640413.0,,,
2016-07-01,,,,0.479,5.0,5.0,61307.521,672571.0,672571.0,,,
2016-08-01,,,,0.0,0.0,0.0,71408.0,802226.0,802226.0,,,
2016-09-01,,,,0.234,3.0,3.0,57290.766,643622.0,643622.0,,,
2016-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2016-11-01,,,,0.725,8.0,8.0,53693.275,583607.0,583607.0,,,
2016-12-01,,,,0.0,0.0,0.0,78788.0,858645.0,858645.0,,,
2017-01-01,,,,0.242,3.0,3.0,71336.758,774028.0,774028.0,,,
2017-02-01,,,,0.247,3.0,3.0,65415.753,694775.0,694775.0,,,
2017-03-01,,,,0.247,3.0,3.0,69828.753,742594.0,742594.0,,,
2017-04-01,,,,0.247,3.0,3.0,73308.753,779227.0,779227.0,,,
2017-05-01,,,,0.244,3.0,3.0,73451.756,790451.0,790451.0,,,
2017-06-01,,,,0.484,5.0,5.0,64467.516,699543.0,699543.0,,,
2017-07-01,,,,0.0,0.0,0.0,78091.0,849512.0,849512.0,,,
2017-08-01,,,,0.0,0.0,0.0,69439.0,759789.0,759789.0,,,
2017-09-01,,,,0.241,3.0,3.0,69277.759,754906.0,754906.0,,,
2017-10-01,,,,0.242,3.0,3.0,38379.758,415479.0,415479.0,,,
2017-11-01,,,,0.241,3.0,3.0,66308.759,721384.0,721384.0,,,
2017-12-01,,,,0.0,0.0,0.0,72141.0,792194.0,792194.0,,,
2018-01-01,,,,0.0,0.0,0.0,73438.0,794313.0,794313.0,,,
2018-02-01,,,,0.243,3.0,3.0,64820.757,701239.0,701239.0,,,
2018-03-01,,,,0.0,0.0,0.0,77490.0,851446.0,851446.0,,,
2018-04-01,,,,0.242,3.0,3.0,67934.758,736397.0,736397.0,,,
2018-05-01,,,,0.244,3.0,3.0,71204.756,764677.0,764677.0,,,
2018-06-01,,,,0.247,3.0,3.0,68146.753,724915.0,724915.0,,,
2018-07-01,,,,0.244,3.0,3.0,74436.756,799693.0,799693.0,,,
2018-08-01,,,,0.0,0.0,0.0,74359.0,814366.0,814366.0,,,
2018-09-01,,,,0.485,5.0,5.0,51674.515,558864.0,558864.0,,,
2018-10-01,,,,0.226,3.0,3.0,35253.774,409266.0,409266.0,,,
2018-11-01,,,,0.0,0.0,0.0,75243.0,863923.0,863923.0,,,
2018-12-01,,,,0.0,0.0,0.0,78018.0,895700.0,895700.0,,,
2019-01-01,,,,0.23,3.0,3.0,76402.77,870363.0,870363.0,,,
2019-02-01,,,,0.226,3.0,3.0,58356.774,677142.0,677142.0,,,
2019-03-01,,,,0.225,3.0,3.0,73914.775,862843.0,862843.0,,,
2019-04-01,,,,0.228,3.0,3.0,57298.772,659166.0,659166.0,,,
2019-05-01,,,,0.229,3.0,3.0,65682.771,754137.0,754137.0,,,
2019-06-01,,,,0.226,3.0,3.0,59379.774,688844.0,688844.0,,,
2019-07-01,,,,0.229,3.0,3.0,58796.771,672776.0,672776.0,,,
2019-08-01,,,,0.229,3.0,3.0,71792.771,823713.0,823713.0,,,
2019-09-01,,,,0.226,3.0,3.0,57592.774,669061.0,669061.0,,,
2019-10-01,,,,0.23,3.0,3.0,43170.77,492753.0,492753.0,,,
2019-11-01,,,,0.0,0.0,0.0,74154.0,853593.0,853593.0,,,
2019-12-01,,,,0.224,3.0,3.0,70132.776,823494.0,823494.0,,,
